acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.38666666666666666,1732172818,,False,1,25020_00002,2024-11-21_15-06-58,21.57796597480774,21.57796597480774,230110,CNWS,222.197.197.85,21.57796597480774,1
0.4,1732172834,,False,2,25020_00002,2024-11-21_15-07-14,16.513712882995605,38.091678857803345,230110,CNWS,222.197.197.85,38.091678857803345,2
0.41333333333333333,1732172853,,False,3,25020_00002,2024-11-21_15-07-33,18.902474403381348,56.99415326118469,230110,CNWS,222.197.197.85,56.99415326118469,3
0.44,1732172872,,False,4,25020_00002,2024-11-21_15-07-52,18.286442041397095,75.28059530258179,230110,CNWS,222.197.197.85,75.28059530258179,4
0.43666666666666665,1732172890,,False,5,25020_00002,2024-11-21_15-08-10,17.878225326538086,93.15882062911987,230110,CNWS,222.197.197.85,93.15882062911987,5
0.44,1732172907,,False,6,25020_00002,2024-11-21_15-08-27,17.65740728378296,110.81622791290283,230110,CNWS,222.197.197.85,110.81622791290283,6
0.47333333333333333,1732172922,,False,7,25020_00002,2024-11-21_15-08-42,15.255597352981567,126.0718252658844,230110,CNWS,222.197.197.85,126.0718252658844,7
0.4266666666666667,1732172941,,False,8,25020_00002,2024-11-21_15-09-01,18.407381534576416,144.47920680046082,230110,CNWS,222.197.197.85,144.47920680046082,8
0.43,1732172960,,False,9,25020_00002,2024-11-21_15-09-20,18.799557209014893,163.2787640094757,230110,CNWS,222.197.197.85,163.2787640094757,9
0.43333333333333335,1732172977,,False,10,25020_00002,2024-11-21_15-09-37,16.89530897140503,180.17407298088074,230110,CNWS,222.197.197.85,180.17407298088074,10
0.44,1732172996,,False,11,25020_00002,2024-11-21_15-09-56,19.019019603729248,199.19309258460999,230110,CNWS,222.197.197.85,199.19309258460999,11
0.42333333333333334,1732173014,,False,12,25020_00002,2024-11-21_15-10-14,18.045209646224976,217.23830223083496,230110,CNWS,222.197.197.85,217.23830223083496,12
0.4266666666666667,1732173032,,False,13,25020_00002,2024-11-21_15-10-32,18.243714094161987,235.48201632499695,230110,CNWS,222.197.197.85,235.48201632499695,13
0.42,1732173049,,False,14,25020_00002,2024-11-21_15-10-49,16.609365463256836,252.09138178825378,230110,CNWS,222.197.197.85,252.09138178825378,14
0.43333333333333335,1732173063,,False,15,25020_00002,2024-11-21_15-11-03,14.682185173034668,266.77356696128845,230110,CNWS,222.197.197.85,266.77356696128845,15
0.41,1732173083,,False,16,25020_00002,2024-11-21_15-11-23,19.997440576553345,286.7710075378418,230110,CNWS,222.197.197.85,286.7710075378418,16
0.44666666666666666,1732173099,,False,17,25020_00002,2024-11-21_15-11-39,15.621135950088501,302.3921434879303,230110,CNWS,222.197.197.85,302.3921434879303,17
0.42333333333333334,1732173117,,False,18,25020_00002,2024-11-21_15-11-57,18.664069890975952,321.05621337890625,230110,CNWS,222.197.197.85,321.05621337890625,18
0.39666666666666667,1732173134,,False,19,25020_00002,2024-11-21_15-12-14,16.207719802856445,337.2639331817627,230110,CNWS,222.197.197.85,337.2639331817627,19
0.41333333333333333,1732173151,,False,20,25020_00002,2024-11-21_15-12-31,17.258427619934082,354.5223608016968,230110,CNWS,222.197.197.85,354.5223608016968,20
0.44,1732173170,,False,21,25020_00002,2024-11-21_15-12-50,18.948715209960938,373.4710760116577,230110,CNWS,222.197.197.85,373.4710760116577,21
0.42333333333333334,1732173187,,False,22,25020_00002,2024-11-21_15-13-07,16.96148991584778,390.4325659275055,230110,CNWS,222.197.197.85,390.4325659275055,22
0.4033333333333333,1732173206,,False,23,25020_00002,2024-11-21_15-13-26,18.893701791763306,409.3262677192688,230110,CNWS,222.197.197.85,409.3262677192688,23
0.41333333333333333,1732173223,,False,24,25020_00002,2024-11-21_15-13-43,16.775150775909424,426.1014184951782,230110,CNWS,222.197.197.85,426.1014184951782,24
0.4066666666666667,1732173240,,False,25,25020_00002,2024-11-21_15-14-00,17.89702534675598,443.9984438419342,230110,CNWS,222.197.197.85,443.9984438419342,25
0.42,1732173258,,False,26,25020_00002,2024-11-21_15-14-18,17.071248054504395,461.0696918964386,230110,CNWS,222.197.197.85,461.0696918964386,26
0.4166666666666667,1732173278,,False,27,25020_00002,2024-11-21_15-14-38,20.899739980697632,481.96943187713623,230110,CNWS,222.197.197.85,481.96943187713623,27
0.4066666666666667,1732173296,,False,28,25020_00002,2024-11-21_15-14-56,17.620463371276855,499.5898952484131,230110,CNWS,222.197.197.85,499.5898952484131,28
0.43,1732173313,,False,29,25020_00002,2024-11-21_15-15-13,16.52062487602234,516.1105201244354,230110,CNWS,222.197.197.85,516.1105201244354,29
0.4033333333333333,1732173331,,False,30,25020_00002,2024-11-21_15-15-31,18.24665904045105,534.3571791648865,230110,CNWS,222.197.197.85,534.3571791648865,30
0.42,1732173347,,False,31,25020_00002,2024-11-21_15-15-47,16.275396585464478,550.632575750351,230110,CNWS,222.197.197.85,550.632575750351,31
0.4166666666666667,1732173365,,False,32,25020_00002,2024-11-21_15-16-05,18.004048347473145,568.6366240978241,230110,CNWS,222.197.197.85,568.6366240978241,32
0.39,1732173379,,False,33,25020_00002,2024-11-21_15-16-19,13.718291521072388,582.3549156188965,230110,CNWS,222.197.197.85,582.3549156188965,33
0.39666666666666667,1732173396,,False,34,25020_00002,2024-11-21_15-16-36,17.292266368865967,599.6471819877625,230110,CNWS,222.197.197.85,599.6471819877625,34
0.4,1732173409,,False,35,25020_00002,2024-11-21_15-16-49,12.504153490066528,612.151335477829,230110,CNWS,222.197.197.85,612.151335477829,35
0.4033333333333333,1732173423,,False,36,25020_00002,2024-11-21_15-17-03,14.71461534500122,626.8659508228302,230110,CNWS,222.197.197.85,626.8659508228302,36
0.4066666666666667,1732173440,,False,37,25020_00002,2024-11-21_15-17-20,17.115811586380005,643.9817624092102,230110,CNWS,222.197.197.85,643.9817624092102,37
0.4066666666666667,1732173459,,False,38,25020_00002,2024-11-21_15-17-39,18.283494472503662,662.2652568817139,230110,CNWS,222.197.197.85,662.2652568817139,38
0.43,1732173478,,False,39,25020_00002,2024-11-21_15-17-58,19.43795347213745,681.7032103538513,230110,CNWS,222.197.197.85,681.7032103538513,39
0.4033333333333333,1732173495,,False,40,25020_00002,2024-11-21_15-18-15,16.865620851516724,698.568831205368,230110,CNWS,222.197.197.85,698.568831205368,40
0.42,1732173514,,False,41,25020_00002,2024-11-21_15-18-34,19.01075053215027,717.5795817375183,230110,CNWS,222.197.197.85,717.5795817375183,41
0.43333333333333335,1732173529,,False,42,25020_00002,2024-11-21_15-18-49,14.811363220214844,732.3909449577332,230110,CNWS,222.197.197.85,732.3909449577332,42
0.42,1732173544,,False,43,25020_00002,2024-11-21_15-19-04,15.471769094467163,747.8627140522003,230110,CNWS,222.197.197.85,747.8627140522003,43
0.4066666666666667,1732173565,,False,44,25020_00002,2024-11-21_15-19-25,20.345121145248413,768.2078351974487,230110,CNWS,222.197.197.85,768.2078351974487,44
0.4066666666666667,1732173577,,False,45,25020_00002,2024-11-21_15-19-37,12.683699369430542,780.8915345668793,230110,CNWS,222.197.197.85,780.8915345668793,45
0.4066666666666667,1732173596,,False,46,25020_00002,2024-11-21_15-19-56,18.403327226638794,799.2948617935181,230110,CNWS,222.197.197.85,799.2948617935181,46
0.42333333333333334,1732173614,,False,47,25020_00002,2024-11-21_15-20-14,17.853875398635864,817.1487371921539,230110,CNWS,222.197.197.85,817.1487371921539,47
0.41333333333333333,1732173632,,False,48,25020_00002,2024-11-21_15-20-32,18.223557710647583,835.3722949028015,230110,CNWS,222.197.197.85,835.3722949028015,48
0.45666666666666667,1732173648,,False,49,25020_00002,2024-11-21_15-20-48,16.585952520370483,851.958247423172,230110,CNWS,222.197.197.85,851.958247423172,49
0.42333333333333334,1732173666,,False,50,25020_00002,2024-11-21_15-21-06,17.83688259124756,869.7951300144196,230110,CNWS,222.197.197.85,869.7951300144196,50
0.41333333333333333,1732173687,,False,51,25020_00002,2024-11-21_15-21-27,21.201889753341675,890.9970197677612,230110,CNWS,222.197.197.85,890.9970197677612,51
0.41333333333333333,1732173706,,False,52,25020_00002,2024-11-21_15-21-46,18.56361699104309,909.5606367588043,230110,CNWS,222.197.197.85,909.5606367588043,52
0.41333333333333333,1732173725,,False,53,25020_00002,2024-11-21_15-22-05,18.857344388961792,928.4179811477661,230110,CNWS,222.197.197.85,928.4179811477661,53
0.43333333333333335,1732173743,,False,54,25020_00002,2024-11-21_15-22-23,17.669904708862305,946.0878858566284,230110,CNWS,222.197.197.85,946.0878858566284,54
0.4066666666666667,1732173762,,False,55,25020_00002,2024-11-21_15-22-42,19.78460192680359,965.872487783432,230110,CNWS,222.197.197.85,965.872487783432,55
