acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4425,1732517378,,False,1,63207_00003,2024-11-25_14-49-38,21.75347590446472,21.75347590446472,38588,CNWS,222.197.197.85,21.75347590446472,1
0.4725,1732517400,,False,2,63207_00003,2024-11-25_14-50-00,21.204524278640747,42.95800018310547,38588,CNWS,222.197.197.85,42.95800018310547,2
0.46,1732517421,,False,3,63207_00003,2024-11-25_14-50-21,21.63858199119568,64.59658217430115,38588,CNWS,222.197.197.85,64.59658217430115,3
0.44,1732517442,,False,4,63207_00003,2024-11-25_14-50-42,21.106053829193115,85.70263600349426,38588,CNWS,222.197.197.85,85.70263600349426,4
0.4625,1732517464,,False,5,63207_00003,2024-11-25_14-51-04,21.118447065353394,106.82108306884766,38588,CNWS,222.197.197.85,106.82108306884766,5
0.475,1732517484,,False,6,63207_00003,2024-11-25_14-51-24,20.88648295402527,127.70756602287292,38588,CNWS,222.197.197.85,127.70756602287292,6
0.505,1732517505,,False,7,63207_00003,2024-11-25_14-51-45,20.317543506622314,148.02510952949524,38588,CNWS,222.197.197.85,148.02510952949524,7
0.5475,1732517526,,False,8,63207_00003,2024-11-25_14-52-06,21.524885892868042,169.54999542236328,38588,CNWS,222.197.197.85,169.54999542236328,8
0.5575,1732517548,,False,9,63207_00003,2024-11-25_14-52-28,21.63556480407715,191.18556022644043,38588,CNWS,222.197.197.85,191.18556022644043,9
0.575,1732517568,,False,10,63207_00003,2024-11-25_14-52-48,20.284181594848633,211.46974182128906,38588,CNWS,222.197.197.85,211.46974182128906,10
0.58,1732517588,,False,11,63207_00003,2024-11-25_14-53-08,19.619736433029175,231.08947825431824,38588,CNWS,222.197.197.85,231.08947825431824,11
0.595,1732517609,,False,12,63207_00003,2024-11-25_14-53-29,20.778993606567383,251.86847186088562,38588,CNWS,222.197.197.85,251.86847186088562,12
0.6,1732517629,,False,13,63207_00003,2024-11-25_14-53-49,20.8904287815094,272.758900642395,38588,CNWS,222.197.197.85,272.758900642395,13
0.61,1732517650,,False,14,63207_00003,2024-11-25_14-54-10,20.15882134437561,292.91772198677063,38588,CNWS,222.197.197.85,292.91772198677063,14
0.635,1732517671,,False,15,63207_00003,2024-11-25_14-54-31,21.65209722518921,314.56981921195984,38588,CNWS,222.197.197.85,314.56981921195984,15
0.64,1732517693,,False,16,63207_00003,2024-11-25_14-54-53,21.35550594329834,335.9253251552582,38588,CNWS,222.197.197.85,335.9253251552582,16
0.6325,1732517713,,False,17,63207_00003,2024-11-25_14-55-13,20.68377423286438,356.60909938812256,38588,CNWS,222.197.197.85,356.60909938812256,17
0.6475,1732517734,,False,18,63207_00003,2024-11-25_14-55-34,20.73982334136963,377.3489227294922,38588,CNWS,222.197.197.85,377.3489227294922,18
0.65,1732517755,,False,19,63207_00003,2024-11-25_14-55-55,20.557389736175537,397.9063124656677,38588,CNWS,222.197.197.85,397.9063124656677,19
0.6725,1732517774,,False,20,63207_00003,2024-11-25_14-56-14,19.365760564804077,417.2720730304718,38588,CNWS,222.197.197.85,417.2720730304718,20
0.68,1732517794,,False,21,63207_00003,2024-11-25_14-56-34,20.288596391677856,437.56066942214966,38588,CNWS,222.197.197.85,437.56066942214966,21
0.6475,1732517814,,False,22,63207_00003,2024-11-25_14-56-54,20.097416877746582,457.65808629989624,38588,CNWS,222.197.197.85,457.65808629989624,22
0.69,1732517834,,False,23,63207_00003,2024-11-25_14-57-14,19.66802668571472,477.32611298561096,38588,CNWS,222.197.197.85,477.32611298561096,23
0.6825,1732517854,,False,24,63207_00003,2024-11-25_14-57-34,20.082138299942017,497.408251285553,38588,CNWS,222.197.197.85,497.408251285553,24
0.6375,1732517875,,False,25,63207_00003,2024-11-25_14-57-55,20.638456106185913,518.0467073917389,38588,CNWS,222.197.197.85,518.0467073917389,25
0.6925,1732517896,,False,26,63207_00003,2024-11-25_14-58-16,21.048994779586792,539.0957021713257,38588,CNWS,222.197.197.85,539.0957021713257,26
0.6825,1732517917,,False,27,63207_00003,2024-11-25_14-58-37,21.66888928413391,560.7645914554596,38588,CNWS,222.197.197.85,560.7645914554596,27
0.69,1732517939,,False,28,63207_00003,2024-11-25_14-58-59,21.06025004386902,581.8248414993286,38588,CNWS,222.197.197.85,581.8248414993286,28
0.685,1732517959,,False,29,63207_00003,2024-11-25_14-59-19,20.614013195037842,602.4388546943665,38588,CNWS,222.197.197.85,602.4388546943665,29
0.6875,1732517979,,False,30,63207_00003,2024-11-25_14-59-39,20.030301094055176,622.4691557884216,38588,CNWS,222.197.197.85,622.4691557884216,30
0.69,1732518001,,False,31,63207_00003,2024-11-25_15-00-01,21.386473417282104,643.8556292057037,38588,CNWS,222.197.197.85,643.8556292057037,31
0.675,1732518021,,False,32,63207_00003,2024-11-25_15-00-21,19.952106475830078,663.8077356815338,38588,CNWS,222.197.197.85,663.8077356815338,32
0.71,1732518039,,False,33,63207_00003,2024-11-25_15-00-39,18.77290987968445,682.5806455612183,38588,CNWS,222.197.197.85,682.5806455612183,33
0.6925,1732518058,,False,34,63207_00003,2024-11-25_15-00-58,18.756473302841187,701.3371188640594,38588,CNWS,222.197.197.85,701.3371188640594,34
0.6975,1732518077,,False,35,63207_00003,2024-11-25_15-01-17,19.0524959564209,720.3896148204803,38588,CNWS,222.197.197.85,720.3896148204803,35
0.6975,1732518097,,False,36,63207_00003,2024-11-25_15-01-37,20.013617515563965,740.4032323360443,38588,CNWS,222.197.197.85,740.4032323360443,36
0.695,1732518117,,False,37,63207_00003,2024-11-25_15-01-57,19.9751615524292,760.3783938884735,38588,CNWS,222.197.197.85,760.3783938884735,37
0.6875,1732518136,,False,38,63207_00003,2024-11-25_15-02-16,19.182084560394287,779.5604784488678,38588,CNWS,222.197.197.85,779.5604784488678,38
0.7,1732518156,,False,39,63207_00003,2024-11-25_15-02-36,20.152597427368164,799.713075876236,38588,CNWS,222.197.197.85,799.713075876236,39
0.68,1732518175,,False,40,63207_00003,2024-11-25_15-02-55,18.77503514289856,818.4881110191345,38588,CNWS,222.197.197.85,818.4881110191345,40
0.7125,1732518194,,False,41,63207_00003,2024-11-25_15-03-14,18.79123616218567,837.2793471813202,38588,CNWS,222.197.197.85,837.2793471813202,41
0.6825,1732518213,,False,42,63207_00003,2024-11-25_15-03-33,18.71169900894165,855.9910461902618,38588,CNWS,222.197.197.85,855.9910461902618,42
0.67,1732518231,,False,43,63207_00003,2024-11-25_15-03-51,18.63281226158142,874.6238584518433,38588,CNWS,222.197.197.85,874.6238584518433,43
0.7,1732518250,,False,44,63207_00003,2024-11-25_15-04-10,18.546183109283447,893.1700415611267,38588,CNWS,222.197.197.85,893.1700415611267,44
