acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4625,1732516383,,False,1,12312_00002,2024-11-25_14-33-03,21.69601011276245,21.69601011276245,36090,CNWS,222.197.197.85,21.69601011276245,1
0.4675,1732516405,,False,2,12312_00002,2024-11-25_14-33-25,21.261394262313843,42.957404375076294,36090,CNWS,222.197.197.85,42.957404375076294,2
0.49,1732516426,,False,3,12312_00002,2024-11-25_14-33-46,20.837563037872314,63.79496741294861,36090,CNWS,222.197.197.85,63.79496741294861,3
0.5225,1732516446,,False,4,12312_00002,2024-11-25_14-34-06,20.590075254440308,84.38504266738892,36090,CNWS,222.197.197.85,84.38504266738892,4
0.5,1732516467,,False,5,12312_00002,2024-11-25_14-34-27,21.1166832447052,105.50172591209412,36090,CNWS,222.197.197.85,105.50172591209412,5
0.535,1732516490,,False,6,12312_00002,2024-11-25_14-34-50,22.922925233840942,128.42465114593506,36090,CNWS,222.197.197.85,128.42465114593506,6
0.525,1732516511,,False,7,12312_00002,2024-11-25_14-35-11,21.100496530532837,149.5251476764679,36090,CNWS,222.197.197.85,149.5251476764679,7
0.5525,1732516532,,False,8,12312_00002,2024-11-25_14-35-32,20.694616317749023,170.21976399421692,36090,CNWS,222.197.197.85,170.21976399421692,8
0.565,1732516553,,False,9,12312_00002,2024-11-25_14-35-53,20.594029664993286,190.8137936592102,36090,CNWS,222.197.197.85,190.8137936592102,9
0.575,1732516574,,False,10,12312_00002,2024-11-25_14-36-14,21.579258918762207,212.3930525779724,36090,CNWS,222.197.197.85,212.3930525779724,10
0.5975,1732516595,,False,11,12312_00002,2024-11-25_14-36-35,20.80183172225952,233.19488430023193,36090,CNWS,222.197.197.85,233.19488430023193,11
0.58,1732516616,,False,12,12312_00002,2024-11-25_14-36-56,21.302917957305908,254.49780225753784,36090,CNWS,222.197.197.85,254.49780225753784,12
0.57,1732516637,,False,13,12312_00002,2024-11-25_14-37-17,20.848859310150146,275.346661567688,36090,CNWS,222.197.197.85,275.346661567688,13
0.5675,1732516657,,False,14,12312_00002,2024-11-25_14-37-37,20.301326990127563,295.64798855781555,36090,CNWS,222.197.197.85,295.64798855781555,14
0.57,1732516678,,False,15,12312_00002,2024-11-25_14-37-58,20.756572246551514,316.40456080436707,36090,CNWS,222.197.197.85,316.40456080436707,15
0.57,1732516699,,False,16,12312_00002,2024-11-25_14-38-19,21.27904176712036,337.6836025714874,36090,CNWS,222.197.197.85,337.6836025714874,16
0.5875,1732516720,,False,17,12312_00002,2024-11-25_14-38-40,20.33882236480713,358.02242493629456,36090,CNWS,222.197.197.85,358.02242493629456,17
0.5675,1732516740,,False,18,12312_00002,2024-11-25_14-39-00,20.470617055892944,378.4930419921875,36090,CNWS,222.197.197.85,378.4930419921875,18
0.605,1732516762,,False,19,12312_00002,2024-11-25_14-39-22,21.665684938430786,400.1587269306183,36090,CNWS,222.197.197.85,400.1587269306183,19
0.565,1732516784,,False,20,12312_00002,2024-11-25_14-39-44,22.32426166534424,422.4829885959625,36090,CNWS,222.197.197.85,422.4829885959625,20
0.57,1732516805,,False,21,12312_00002,2024-11-25_14-40-05,20.70395827293396,443.1869468688965,36090,CNWS,222.197.197.85,443.1869468688965,21
0.5875,1732516826,,False,22,12312_00002,2024-11-25_14-40-26,20.66069769859314,463.8476445674896,36090,CNWS,222.197.197.85,463.8476445674896,22
0.5775,1732516846,,False,23,12312_00002,2024-11-25_14-40-46,20.534281492233276,484.3819260597229,36090,CNWS,222.197.197.85,484.3819260597229,23
0.5825,1732516867,,False,24,12312_00002,2024-11-25_14-41-07,20.553423166275024,504.9353492259979,36090,CNWS,222.197.197.85,504.9353492259979,24
