acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.48,1732689926,,False,1,1780d_00003,2024-11-27_14-45-26,37.72308683395386,37.72308683395386,334402,CNWS,222.197.197.85,37.72308683395386,1
0.56,1732689966,,False,2,1780d_00003,2024-11-27_14-46-06,39.63737154006958,77.36045837402344,334402,CNWS,222.197.197.85,77.36045837402344,2
0.635,1732689994,,False,3,1780d_00003,2024-11-27_14-46-34,28.745952606201172,106.10641098022461,334402,CNWS,222.197.197.85,106.10641098022461,3
0.655,1732690023,,False,4,1780d_00003,2024-11-27_14-47-03,28.178187608718872,134.28459858894348,334402,CNWS,222.197.197.85,134.28459858894348,4
0.64,1732690067,,False,5,1780d_00003,2024-11-27_14-47-47,44.09883165359497,178.38343024253845,334402,CNWS,222.197.197.85,178.38343024253845,5
0.6275,1732690096,,False,6,1780d_00003,2024-11-27_14-48-16,28.876621961593628,207.26005220413208,334402,CNWS,222.197.197.85,207.26005220413208,6
0.67,1732690146,,False,7,1780d_00003,2024-11-27_14-49-06,50.34947466850281,257.6095268726349,334402,CNWS,222.197.197.85,257.6095268726349,7
0.59,1732690178,,False,8,1780d_00003,2024-11-27_14-49-38,31.544232845306396,289.1537597179413,334402,CNWS,222.197.197.85,289.1537597179413,8
0.7,1732690208,,False,9,1780d_00003,2024-11-27_14-50-08,30.159546375274658,319.31330609321594,334402,CNWS,222.197.197.85,319.31330609321594,9
0.64,1732690260,,False,10,1780d_00003,2024-11-27_14-51-00,52.7000036239624,372.01330971717834,334402,CNWS,222.197.197.85,372.01330971717834,10
0.685,1732690287,,False,11,1780d_00003,2024-11-27_14-51-27,26.195354461669922,398.20866417884827,334402,CNWS,222.197.197.85,398.20866417884827,11
0.7075,1732690313,,False,12,1780d_00003,2024-11-27_14-51-53,26.738832235336304,424.94749641418457,334402,CNWS,222.197.197.85,424.94749641418457,12
0.685,1732690339,,False,13,1780d_00003,2024-11-27_14-52-19,26.12133526802063,451.0688316822052,334402,CNWS,222.197.197.85,451.0688316822052,13
0.7025,1732690365,,False,14,1780d_00003,2024-11-27_14-52-45,25.4034321308136,476.4722638130188,334402,CNWS,222.197.197.85,476.4722638130188,14
0.635,1732690404,,False,15,1780d_00003,2024-11-27_14-53-24,39.40253829956055,515.8748021125793,334402,CNWS,222.197.197.85,515.8748021125793,15
0.69,1732690428,,False,16,1780d_00003,2024-11-27_14-53-48,23.914539575576782,539.7893416881561,334402,CNWS,222.197.197.85,539.7893416881561,16
0.6975,1732690452,,False,17,1780d_00003,2024-11-27_14-54-12,24.06703805923462,563.8563797473907,334402,CNWS,222.197.197.85,563.8563797473907,17
0.7225,1732690478,,False,18,1780d_00003,2024-11-27_14-54-38,25.27694058418274,589.1333203315735,334402,CNWS,222.197.197.85,589.1333203315735,18
0.705,1732690508,,False,19,1780d_00003,2024-11-27_14-55-08,30.759941816329956,619.8932621479034,334402,CNWS,222.197.197.85,619.8932621479034,19
0.6775,1732690546,,False,20,1780d_00003,2024-11-27_14-55-46,37.489500999450684,657.3827631473541,334402,CNWS,222.197.197.85,657.3827631473541,20
0.6575,1732690577,,False,21,1780d_00003,2024-11-27_14-56-17,31.160252332687378,688.5430154800415,334402,CNWS,222.197.197.85,688.5430154800415,21
0.695,1732690599,,False,22,1780d_00003,2024-11-27_14-56-39,22.254040956497192,710.7970564365387,334402,CNWS,222.197.197.85,710.7970564365387,22
0.6925,1732690631,,False,23,1780d_00003,2024-11-27_14-57-11,31.278783082962036,742.0758395195007,334402,CNWS,222.197.197.85,742.0758395195007,23
0.7475,1732690659,,False,24,1780d_00003,2024-11-27_14-57-39,28.9134783744812,770.9893178939819,334402,CNWS,222.197.197.85,770.9893178939819,24
0.7275,1732690680,,False,25,1780d_00003,2024-11-27_14-58-00,20.670934677124023,791.660252571106,334402,CNWS,222.197.197.85,791.660252571106,25
0.7225,1732690707,,False,26,1780d_00003,2024-11-27_14-58-27,27.141376733779907,818.8016293048859,334402,CNWS,222.197.197.85,818.8016293048859,26
0.695,1732690747,,False,27,1780d_00003,2024-11-27_14-59-07,40.212085247039795,859.0137145519257,334402,CNWS,222.197.197.85,859.0137145519257,27
0.695,1732690783,,False,28,1780d_00003,2024-11-27_14-59-43,35.24814033508301,894.2618548870087,334402,CNWS,222.197.197.85,894.2618548870087,28
0.7175,1732690817,,False,29,1780d_00003,2024-11-27_15-00-17,34.26477766036987,928.5266325473785,334402,CNWS,222.197.197.85,928.5266325473785,29
0.7175,1732690863,,False,30,1780d_00003,2024-11-27_15-01-03,45.790066957473755,974.3166995048523,334402,CNWS,222.197.197.85,974.3166995048523,30
0.6725,1732690904,,False,31,1780d_00003,2024-11-27_15-01-44,41.581467390060425,1015.8981668949127,334402,CNWS,222.197.197.85,1015.8981668949127,31
0.725,1732690931,,False,32,1780d_00003,2024-11-27_15-02-11,26.29272484779358,1042.1908917427063,334402,CNWS,222.197.197.85,1042.1908917427063,32
0.7125,1732690963,,False,33,1780d_00003,2024-11-27_15-02-43,32.643816232681274,1074.8347079753876,334402,CNWS,222.197.197.85,1074.8347079753876,33
0.705,1732690991,,False,34,1780d_00003,2024-11-27_15-03-11,27.46617865562439,1102.300886631012,334402,CNWS,222.197.197.85,1102.300886631012,34
0.7175,1732691021,,False,35,1780d_00003,2024-11-27_15-03-41,30.653492212295532,1132.9543788433075,334402,CNWS,222.197.197.85,1132.9543788433075,35
0.71,1732691048,,False,36,1780d_00003,2024-11-27_15-04-08,26.61669158935547,1159.571070432663,334402,CNWS,222.197.197.85,1159.571070432663,36
0.7125,1732691075,,False,37,1780d_00003,2024-11-27_15-04-35,27.29250168800354,1186.8635721206665,334402,CNWS,222.197.197.85,1186.8635721206665,37
0.7075,1732691103,,False,38,1780d_00003,2024-11-27_15-05-03,27.5108060836792,1214.3743782043457,334402,CNWS,222.197.197.85,1214.3743782043457,38
0.7,1732691147,,False,39,1780d_00003,2024-11-27_15-05-47,44.415488481521606,1258.7898666858673,334402,CNWS,222.197.197.85,1258.7898666858673,39
0.6975,1732691174,,False,40,1780d_00003,2024-11-27_15-06-14,26.64595866203308,1285.4358253479004,334402,CNWS,222.197.197.85,1285.4358253479004,40
0.715,1732691200,,False,41,1780d_00003,2024-11-27_15-06-40,25.68683362007141,1311.1226589679718,334402,CNWS,222.197.197.85,1311.1226589679718,41
0.715,1732691244,,False,42,1780d_00003,2024-11-27_15-07-24,44.83163380622864,1355.9542927742004,334402,CNWS,222.197.197.85,1355.9542927742004,42
0.715,1732691265,,False,43,1780d_00003,2024-11-27_15-07-45,20.95333433151245,1376.907627105713,334402,CNWS,222.197.197.85,1376.907627105713,43
0.7025,1732691297,,False,44,1780d_00003,2024-11-27_15-08-17,31.19920301437378,1408.1068301200867,334402,CNWS,222.197.197.85,1408.1068301200867,44
0.6875,1732691327,,False,45,1780d_00003,2024-11-27_15-08-47,30.6589252948761,1438.7657554149628,334402,CNWS,222.197.197.85,1438.7657554149628,45
0.7075,1732691354,,False,46,1780d_00003,2024-11-27_15-09-14,26.678422927856445,1465.4441783428192,334402,CNWS,222.197.197.85,1465.4441783428192,46
0.7025,1732691390,,False,47,1780d_00003,2024-11-27_15-09-50,36.02554178237915,1501.4697201251984,334402,CNWS,222.197.197.85,1501.4697201251984,47
0.71,1732691415,,False,48,1780d_00003,2024-11-27_15-10-15,25.055588245391846,1526.5253083705902,334402,CNWS,222.197.197.85,1526.5253083705902,48
0.6875,1732691450,,False,49,1780d_00003,2024-11-27_15-10-50,35.10034513473511,1561.6256535053253,334402,CNWS,222.197.197.85,1561.6256535053253,49
0.715,1732691475,,False,50,1780d_00003,2024-11-27_15-11-15,25.128443241119385,1586.7540967464447,334402,CNWS,222.197.197.85,1586.7540967464447,50
0.6925,1732691502,,False,51,1780d_00003,2024-11-27_15-11-42,27.01974630355835,1613.773843050003,334402,CNWS,222.197.197.85,1613.773843050003,51
0.7075,1732691530,,False,52,1780d_00003,2024-11-27_15-12-10,27.31712055206299,1641.090963602066,334402,CNWS,222.197.197.85,1641.090963602066,52
0.72,1732691568,,False,53,1780d_00003,2024-11-27_15-12-48,38.436673641204834,1679.5276372432709,334402,CNWS,222.197.197.85,1679.5276372432709,53
0.715,1732691596,,False,54,1780d_00003,2024-11-27_15-13-16,28.04007625579834,1707.5677134990692,334402,CNWS,222.197.197.85,1707.5677134990692,54
0.715,1732691625,,False,55,1780d_00003,2024-11-27_15-13-45,28.689562797546387,1736.2572762966156,334402,CNWS,222.197.197.85,1736.2572762966156,55
0.7125,1732691656,,False,56,1780d_00003,2024-11-27_15-14-16,31.340370893478394,1767.597647190094,334402,CNWS,222.197.197.85,1767.597647190094,56
0.7175,1732691686,,False,57,1780d_00003,2024-11-27_15-14-46,29.908363580703735,1797.5060107707977,334402,CNWS,222.197.197.85,1797.5060107707977,57
0.715,1732691718,,False,58,1780d_00003,2024-11-27_15-15-18,31.973069667816162,1829.479080438614,334402,CNWS,222.197.197.85,1829.479080438614,58
0.7075,1732691758,,False,59,1780d_00003,2024-11-27_15-15-58,40.10439467430115,1869.583475112915,334402,CNWS,222.197.197.85,1869.583475112915,59
0.7025,1732691797,,False,60,1780d_00003,2024-11-27_15-16-37,38.68887996673584,1908.2723550796509,334402,CNWS,222.197.197.85,1908.2723550796509,60
0.71,1732691830,,False,61,1780d_00003,2024-11-27_15-17-10,33.54387545585632,1941.8162305355072,334402,CNWS,222.197.197.85,1941.8162305355072,61
0.69,1732691856,,False,62,1780d_00003,2024-11-27_15-17-36,25.828330993652344,1967.6445615291595,334402,CNWS,222.197.197.85,1967.6445615291595,62
0.7225,1732691882,,False,63,1780d_00003,2024-11-27_15-18-02,26.184707403182983,1993.8292689323425,334402,CNWS,222.197.197.85,1993.8292689323425,63
0.705,1732691919,,False,64,1780d_00003,2024-11-27_15-18-39,36.25819754600525,2030.0874664783478,334402,CNWS,222.197.197.85,2030.0874664783478,64
0.7,1732691952,,False,65,1780d_00003,2024-11-27_15-19-12,32.883460998535156,2062.970927476883,334402,CNWS,222.197.197.85,2062.970927476883,65
0.6925,1732691985,,False,66,1780d_00003,2024-11-27_15-19-45,33.75138998031616,2096.722317457199,334402,CNWS,222.197.197.85,2096.722317457199,66
0.6925,1732692018,,False,67,1780d_00003,2024-11-27_15-20-18,32.29634094238281,2129.018658399582,334402,CNWS,222.197.197.85,2129.018658399582,67
0.6975,1732692057,,False,68,1780d_00003,2024-11-27_15-20-57,39.09573817253113,2168.114396572113,334402,CNWS,222.197.197.85,2168.114396572113,68
