acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4725,1732695862,,False,1,f5b46_00001,2024-11-27_16-24-22,18.203898668289185,18.203898668289185,349522,CNWS,222.197.197.85,18.203898668289185,1
0.4875,1732695889,,False,2,f5b46_00001,2024-11-27_16-24-49,26.262399435043335,44.46629810333252,349522,CNWS,222.197.197.85,44.46629810333252,2
0.485,1732695904,,False,3,f5b46_00001,2024-11-27_16-25-04,14.973973989486694,59.440272092819214,349522,CNWS,222.197.197.85,59.440272092819214,3
0.5325,1732695922,,False,4,f5b46_00001,2024-11-27_16-25-22,18.591164112091064,78.03143620491028,349522,CNWS,222.197.197.85,78.03143620491028,4
0.5575,1732695944,,False,5,f5b46_00001,2024-11-27_16-25-44,21.909602880477905,99.94103908538818,349522,CNWS,222.197.197.85,99.94103908538818,5
0.605,1732695984,,False,6,f5b46_00001,2024-11-27_16-26-24,39.63352847099304,139.57456755638123,349522,CNWS,222.197.197.85,139.57456755638123,6
0.635,1732696028,,False,7,f5b46_00001,2024-11-27_16-27-08,43.98032212257385,183.55488967895508,349522,CNWS,222.197.197.85,183.55488967895508,7
0.68,1732696054,,False,8,f5b46_00001,2024-11-27_16-27-34,26.405332326889038,209.96022200584412,349522,CNWS,222.197.197.85,209.96022200584412,8
0.6425,1732696086,,False,9,f5b46_00001,2024-11-27_16-28-06,32.01760768890381,241.97782969474792,349522,CNWS,222.197.197.85,241.97782969474792,9
0.63,1732696102,,False,10,f5b46_00001,2024-11-27_16-28-22,15.713829040527344,257.69165873527527,349522,CNWS,222.197.197.85,257.69165873527527,10
0.67,1732696154,,False,11,f5b46_00001,2024-11-27_16-29-14,52.13901400566101,309.8306727409363,349522,CNWS,222.197.197.85,309.8306727409363,11
0.6825,1732696185,,False,12,f5b46_00001,2024-11-27_16-29-45,30.82777214050293,340.6584448814392,349522,CNWS,222.197.197.85,340.6584448814392,12
