acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.5025,1732511162,,False,1,d9bbd_00006,2024-11-25_13-06-02,48.12425494194031,48.12425494194031,25078,CNWS,222.197.197.85,48.12425494194031,1
0.4375,1732511206,,False,2,d9bbd_00006,2024-11-25_13-06-46,43.591240882873535,91.71549582481384,25078,CNWS,222.197.197.85,91.71549582481384,2
0.4575,1732511258,,False,3,d9bbd_00006,2024-11-25_13-07-38,51.60124468803406,143.3167405128479,25078,CNWS,222.197.197.85,143.3167405128479,3
0.4825,1732511299,,False,4,d9bbd_00006,2024-11-25_13-08-19,41.181795597076416,184.49853610992432,25078,CNWS,222.197.197.85,184.49853610992432,4
0.49,1732511340,,False,5,d9bbd_00006,2024-11-25_13-09-00,40.87859773635864,225.37713384628296,25078,CNWS,222.197.197.85,225.37713384628296,5
0.5175,1732511379,,False,6,d9bbd_00006,2024-11-25_13-09-39,39.78342294692993,265.1605567932129,25078,CNWS,222.197.197.85,265.1605567932129,6
0.5225,1732511422,,False,7,d9bbd_00006,2024-11-25_13-10-22,42.50126838684082,307.6618251800537,25078,CNWS,222.197.197.85,307.6618251800537,7
0.545,1732511471,,False,8,d9bbd_00006,2024-11-25_13-11-11,49.10777044296265,356.76959562301636,25078,CNWS,222.197.197.85,356.76959562301636,8
0.54,1732511516,,False,9,d9bbd_00006,2024-11-25_13-11-56,44.89317488670349,401.66277050971985,25078,CNWS,222.197.197.85,401.66277050971985,9
0.55,1732511564,,False,10,d9bbd_00006,2024-11-25_13-12-44,48.10938000679016,449.77215051651,25078,CNWS,222.197.197.85,449.77215051651,10
0.55,1732511610,,False,11,d9bbd_00006,2024-11-25_13-13-30,45.929057359695435,495.70120787620544,25078,CNWS,222.197.197.85,495.70120787620544,11
0.5625,1732511655,,False,12,d9bbd_00006,2024-11-25_13-14-15,45.19893789291382,540.9001457691193,25078,CNWS,222.197.197.85,540.9001457691193,12
0.58,1732511706,,False,13,d9bbd_00006,2024-11-25_13-15-06,50.473763942718506,591.3739097118378,25078,CNWS,222.197.197.85,591.3739097118378,13
0.585,1732511759,,False,14,d9bbd_00006,2024-11-25_13-15-59,53.31195878982544,644.6858685016632,25078,CNWS,222.197.197.85,644.6858685016632,14
0.5925,1732511802,,False,15,d9bbd_00006,2024-11-25_13-16-42,42.7406063079834,687.4264748096466,25078,CNWS,222.197.197.85,687.4264748096466,15
0.5925,1732511841,,False,16,d9bbd_00006,2024-11-25_13-17-21,39.61131453514099,727.0377893447876,25078,CNWS,222.197.197.85,727.0377893447876,16
0.5575,1732511884,,False,17,d9bbd_00006,2024-11-25_13-18-04,42.893041133880615,769.9308304786682,25078,CNWS,222.197.197.85,769.9308304786682,17
0.5825,1732511932,,False,18,d9bbd_00006,2024-11-25_13-18-52,47.60886526107788,817.5396957397461,25078,CNWS,222.197.197.85,817.5396957397461,18
0.5875,1732511981,,False,19,d9bbd_00006,2024-11-25_13-19-41,49.249926805496216,866.7896225452423,25078,CNWS,222.197.197.85,866.7896225452423,19
0.5725,1732512024,,False,20,d9bbd_00006,2024-11-25_13-20-24,43.14915347099304,909.9387760162354,25078,CNWS,222.197.197.85,909.9387760162354,20
0.6025,1732512069,,False,21,d9bbd_00006,2024-11-25_13-21-09,45.14774942398071,955.0865254402161,25078,CNWS,222.197.197.85,955.0865254402161,21
0.595,1732512114,,False,22,d9bbd_00006,2024-11-25_13-21-54,44.166038513183594,999.2525639533997,25078,CNWS,222.197.197.85,999.2525639533997,22
0.5875,1732512161,,False,23,d9bbd_00006,2024-11-25_13-22-41,47.70217704772949,1046.9547410011292,25078,CNWS,222.197.197.85,1046.9547410011292,23
0.575,1732512203,,False,24,d9bbd_00006,2024-11-25_13-23-23,41.29659962654114,1088.2513406276703,25078,CNWS,222.197.197.85,1088.2513406276703,24
0.6025,1732512249,,False,25,d9bbd_00006,2024-11-25_13-24-09,46.66933059692383,1134.9206712245941,25078,CNWS,222.197.197.85,1134.9206712245941,25
0.6175,1732512291,,False,26,d9bbd_00006,2024-11-25_13-24-51,42.14240598678589,1177.06307721138,25078,CNWS,222.197.197.85,1177.06307721138,26
0.6075,1732512331,,False,27,d9bbd_00006,2024-11-25_13-25-31,39.085827112197876,1216.1489043235779,25078,CNWS,222.197.197.85,1216.1489043235779,27
