acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.46,1732507088,,False,1,64770_00015,2024-11-25_11-58-08,35.09712314605713,35.09712314605713,19239,CNWS,222.197.197.85,35.09712314605713,1
0.5275,1732507123,,False,2,64770_00015,2024-11-25_11-58-43,35.54127478599548,70.63839793205261,19239,CNWS,222.197.197.85,70.63839793205261,2
0.505,1732507158,,False,3,64770_00015,2024-11-25_11-59-18,34.470762968063354,105.10916090011597,19239,CNWS,222.197.197.85,105.10916090011597,3
0.4925,1732507201,,False,4,64770_00015,2024-11-25_12-00-01,43.366748332977295,148.47590923309326,19239,CNWS,222.197.197.85,148.47590923309326,4
0.5125,1732507244,,False,5,64770_00015,2024-11-25_12-00-44,42.55889558792114,191.0348048210144,19239,CNWS,222.197.197.85,191.0348048210144,5
0.5575,1732507284,,False,6,64770_00015,2024-11-25_12-01-24,40.74434781074524,231.77915263175964,19239,CNWS,222.197.197.85,231.77915263175964,6
0.525,1732507321,,False,7,64770_00015,2024-11-25_12-02-01,36.44402885437012,268.22318148612976,19239,CNWS,222.197.197.85,268.22318148612976,7
0.4875,1732507363,,False,8,64770_00015,2024-11-25_12-02-43,42.704249143600464,310.9274306297302,19239,CNWS,222.197.197.85,310.9274306297302,8
0.5725,1732507397,,False,9,64770_00015,2024-11-25_12-03-17,33.78745698928833,344.71488761901855,19239,CNWS,222.197.197.85,344.71488761901855,9
0.545,1732507428,,False,10,64770_00015,2024-11-25_12-03-48,31.223718643188477,375.93860626220703,19239,CNWS,222.197.197.85,375.93860626220703,10
0.57,1732507465,,False,11,64770_00015,2024-11-25_12-04-25,36.50586175918579,412.4444680213928,19239,CNWS,222.197.197.85,412.4444680213928,11
0.5675,1732507503,,False,12,64770_00015,2024-11-25_12-05-03,37.877177715301514,450.32164573669434,19239,CNWS,222.197.197.85,450.32164573669434,12
0.5475,1732507539,,False,13,64770_00015,2024-11-25_12-05-39,36.10246014595032,486.42410588264465,19239,CNWS,222.197.197.85,486.42410588264465,13
0.5675,1732507580,,False,14,64770_00015,2024-11-25_12-06-20,40.61999750137329,527.044103384018,19239,CNWS,222.197.197.85,527.044103384018,14
0.585,1732507618,,False,15,64770_00015,2024-11-25_12-06-58,38.281798124313354,565.3259015083313,19239,CNWS,222.197.197.85,565.3259015083313,15
0.5525,1732507653,,False,16,64770_00015,2024-11-25_12-07-33,34.71067953109741,600.0365810394287,19239,CNWS,222.197.197.85,600.0365810394287,16
0.5925,1732507696,,False,17,64770_00015,2024-11-25_12-08-16,43.16942572593689,643.2060067653656,19239,CNWS,222.197.197.85,643.2060067653656,17
0.5775,1732507734,,False,18,64770_00015,2024-11-25_12-08-54,37.90150713920593,681.1075139045715,19239,CNWS,222.197.197.85,681.1075139045715,18
0.5825,1732507783,,False,19,64770_00015,2024-11-25_12-09-43,49.85412406921387,730.9616379737854,19239,CNWS,222.197.197.85,730.9616379737854,19
0.5725,1732507819,,False,20,64770_00015,2024-11-25_12-10-19,35.78092861175537,766.7425665855408,19239,CNWS,222.197.197.85,766.7425665855408,20
0.5675,1732507859,,False,21,64770_00015,2024-11-25_12-10-59,39.33302283287048,806.0755894184113,19239,CNWS,222.197.197.85,806.0755894184113,21
0.56,1732507898,,False,22,64770_00015,2024-11-25_12-11-38,39.09428429603577,845.169873714447,19239,CNWS,222.197.197.85,845.169873714447,22
0.5975,1732507928,,False,23,64770_00015,2024-11-25_12-12-08,30.058033227920532,875.2279069423676,19239,CNWS,222.197.197.85,875.2279069423676,23
0.58,1732507965,,False,24,64770_00015,2024-11-25_12-12-45,37.07064366340637,912.2985506057739,19239,CNWS,222.197.197.85,912.2985506057739,24
0.56,1732508006,,False,25,64770_00015,2024-11-25_12-13-26,41.49716567993164,953.7957162857056,19239,CNWS,222.197.197.85,953.7957162857056,25
0.6,1732508046,,False,26,64770_00015,2024-11-25_12-14-06,39.558321714401245,993.3540380001068,19239,CNWS,222.197.197.85,993.3540380001068,26
0.5975,1732508075,,False,27,64770_00015,2024-11-25_12-14-35,28.98508644104004,1022.3391244411469,19239,CNWS,222.197.197.85,1022.3391244411469,27
0.5925,1732508112,,False,28,64770_00015,2024-11-25_12-15-12,37.565211057662964,1059.9043354988098,19239,CNWS,222.197.197.85,1059.9043354988098,28
0.56,1732508148,,False,29,64770_00015,2024-11-25_12-15-48,35.58683657646179,1095.4911720752716,19239,CNWS,222.197.197.85,1095.4911720752716,29
0.59,1732508192,,False,30,64770_00015,2024-11-25_12-16-32,43.67087173461914,1139.1620438098907,19239,CNWS,222.197.197.85,1139.1620438098907,30
0.57,1732508230,,False,31,64770_00015,2024-11-25_12-17-10,38.38492560386658,1177.5469694137573,19239,CNWS,222.197.197.85,1177.5469694137573,31
0.6,1732508272,,False,32,64770_00015,2024-11-25_12-17-52,41.71546459197998,1219.2624340057373,19239,CNWS,222.197.197.85,1219.2624340057373,32
0.6075,1732508300,,False,33,64770_00015,2024-11-25_12-18-20,28.0309579372406,1247.293391942978,19239,CNWS,222.197.197.85,1247.293391942978,33
0.62,1732508341,,False,34,64770_00015,2024-11-25_12-19-01,41.46183657646179,1288.7552285194397,19239,CNWS,222.197.197.85,1288.7552285194397,34
0.59,1732508375,,False,35,64770_00015,2024-11-25_12-19-35,33.306164264678955,1322.0613927841187,19239,CNWS,222.197.197.85,1322.0613927841187,35
0.6175,1732508408,,False,36,64770_00015,2024-11-25_12-20-08,33.65321755409241,1355.714610338211,19239,CNWS,222.197.197.85,1355.714610338211,36
0.5975,1732508449,,False,37,64770_00015,2024-11-25_12-20-49,40.6292519569397,1396.3438622951508,19239,CNWS,222.197.197.85,1396.3438622951508,37
0.5825,1732508492,,False,38,64770_00015,2024-11-25_12-21-32,43.00981903076172,1439.3536813259125,19239,CNWS,222.197.197.85,1439.3536813259125,38
0.605,1732508529,,False,39,64770_00015,2024-11-25_12-22-09,36.62727999687195,1475.9809613227844,19239,CNWS,222.197.197.85,1475.9809613227844,39
0.5775,1732508568,,False,40,64770_00015,2024-11-25_12-22-48,39.53552055358887,1515.5164818763733,19239,CNWS,222.197.197.85,1515.5164818763733,40
0.5975,1732508610,,False,41,64770_00015,2024-11-25_12-23-30,41.58151888847351,1557.0980007648468,19239,CNWS,222.197.197.85,1557.0980007648468,41
0.61,1732508647,,False,42,64770_00015,2024-11-25_12-24-07,37.49179649353027,1594.589797258377,19239,CNWS,222.197.197.85,1594.589797258377,42
0.62,1732508685,,False,43,64770_00015,2024-11-25_12-24-45,37.536330699920654,1632.1261279582977,19239,CNWS,222.197.197.85,1632.1261279582977,43
0.6025,1732508726,,False,44,64770_00015,2024-11-25_12-25-26,40.929211378097534,1673.0553393363953,19239,CNWS,222.197.197.85,1673.0553393363953,44
0.625,1732508763,,False,45,64770_00015,2024-11-25_12-26-03,37.5758171081543,1710.6311564445496,19239,CNWS,222.197.197.85,1710.6311564445496,45
0.6175,1732508807,,False,46,64770_00015,2024-11-25_12-26-47,43.42771553993225,1754.0588719844818,19239,CNWS,222.197.197.85,1754.0588719844818,46
0.6,1732508845,,False,47,64770_00015,2024-11-25_12-27-25,38.34428262710571,1792.4031546115875,19239,CNWS,222.197.197.85,1792.4031546115875,47
0.605,1732508880,,False,48,64770_00015,2024-11-25_12-28-00,35.3476448059082,1827.7507994174957,19239,CNWS,222.197.197.85,1827.7507994174957,48
0.595,1732508914,,False,49,64770_00015,2024-11-25_12-28-34,33.825876235961914,1861.5766756534576,19239,CNWS,222.197.197.85,1861.5766756534576,49
0.6325,1732508949,,False,50,64770_00015,2024-11-25_12-29-09,34.432208776474,1896.0088844299316,19239,CNWS,222.197.197.85,1896.0088844299316,50
0.615,1732508979,,False,51,64770_00015,2024-11-25_12-29-39,30.40793538093567,1926.4168198108673,19239,CNWS,222.197.197.85,1926.4168198108673,51
0.615,1732509013,,False,52,64770_00015,2024-11-25_12-30-13,33.63010334968567,1960.046923160553,19239,CNWS,222.197.197.85,1960.046923160553,52
0.6175,1732509047,,False,53,64770_00015,2024-11-25_12-30-47,34.549558877944946,1994.596482038498,19239,CNWS,222.197.197.85,1994.596482038498,53
0.6125,1732509086,,False,54,64770_00015,2024-11-25_12-31-26,38.952149868011475,2033.5486319065094,19239,CNWS,222.197.197.85,2033.5486319065094,54
0.605,1732509129,,False,55,64770_00015,2024-11-25_12-32-09,42.46071457862854,2076.009346485138,19239,CNWS,222.197.197.85,2076.009346485138,55
0.6175,1732509163,,False,56,64770_00015,2024-11-25_12-32-43,34.81403183937073,2110.8233783245087,19239,CNWS,222.197.197.85,2110.8233783245087,56
0.5925,1732509199,,False,57,64770_00015,2024-11-25_12-33-19,35.76741933822632,2146.590797662735,19239,CNWS,222.197.197.85,2146.590797662735,57
0.595,1732509236,,False,58,64770_00015,2024-11-25_12-33-56,36.44216060638428,2183.0329582691193,19239,CNWS,222.197.197.85,2183.0329582691193,58
0.61,1732509272,,False,59,64770_00015,2024-11-25_12-34-32,36.28198790550232,2219.3149461746216,19239,CNWS,222.197.197.85,2219.3149461746216,59
0.6,1732509309,,False,60,64770_00015,2024-11-25_12-35-09,37.428462505340576,2256.743408679962,19239,CNWS,222.197.197.85,2256.743408679962,60
0.6225,1732509351,,False,61,64770_00015,2024-11-25_12-35-51,41.381821632385254,2298.1252303123474,19239,CNWS,222.197.197.85,2298.1252303123474,61
0.64,1732509389,,False,62,64770_00015,2024-11-25_12-36-29,38.169373750686646,2336.294604063034,19239,CNWS,222.197.197.85,2336.294604063034,62
0.62,1732509429,,False,63,64770_00015,2024-11-25_12-37-09,40.21744132041931,2376.5120453834534,19239,CNWS,222.197.197.85,2376.5120453834534,63
0.63,1732509473,,False,64,64770_00015,2024-11-25_12-37-53,43.3853862285614,2419.8974316120148,19239,CNWS,222.197.197.85,2419.8974316120148,64
0.6075,1732509514,,False,65,64770_00015,2024-11-25_12-38-34,41.60891366004944,2461.506345272064,19239,CNWS,222.197.197.85,2461.506345272064,65
0.635,1732509550,,False,66,64770_00015,2024-11-25_12-39-10,35.92446327209473,2497.430808544159,19239,CNWS,222.197.197.85,2497.430808544159,66
0.62,1732509588,,False,67,64770_00015,2024-11-25_12-39-48,37.65682601928711,2535.087634563446,19239,CNWS,222.197.197.85,2535.087634563446,67
0.6,1732509625,,False,68,64770_00015,2024-11-25_12-40-25,37.54027080535889,2572.627905368805,19239,CNWS,222.197.197.85,2572.627905368805,68
0.6125,1732509671,,False,69,64770_00015,2024-11-25_12-41-11,45.459373474121094,2618.087278842926,19239,CNWS,222.197.197.85,2618.087278842926,69
0.62,1732509711,,False,70,64770_00015,2024-11-25_12-41-51,40.335527420043945,2658.42280626297,19239,CNWS,222.197.197.85,2658.42280626297,70
0.5975,1732509750,,False,71,64770_00015,2024-11-25_12-42-30,38.73513317108154,2697.1579394340515,19239,CNWS,222.197.197.85,2697.1579394340515,71
0.63,1732509787,,False,72,64770_00015,2024-11-25_12-43-07,37.406230449676514,2734.564169883728,19239,CNWS,222.197.197.85,2734.564169883728,72
0.61,1732509829,,False,73,64770_00015,2024-11-25_12-43-49,41.59958457946777,2776.163754463196,19239,CNWS,222.197.197.85,2776.163754463196,73
0.615,1732509860,,False,74,64770_00015,2024-11-25_12-44-20,31.45769214630127,2807.621446609497,19239,CNWS,222.197.197.85,2807.621446609497,74
0.63,1732509897,,False,75,64770_00015,2024-11-25_12-44-57,37.14500904083252,2844.7664556503296,19239,CNWS,222.197.197.85,2844.7664556503296,75
0.6225,1732509936,,False,76,64770_00015,2024-11-25_12-45-36,38.43125581741333,2883.197711467743,19239,CNWS,222.197.197.85,2883.197711467743,76
0.63,1732509971,,False,77,64770_00015,2024-11-25_12-46-11,35.102651834487915,2918.300363302231,19239,CNWS,222.197.197.85,2918.300363302231,77
0.6225,1732510011,,False,78,64770_00015,2024-11-25_12-46-51,39.94629979133606,2958.246663093567,19239,CNWS,222.197.197.85,2958.246663093567,78
0.6225,1732510048,,False,79,64770_00015,2024-11-25_12-47-28,36.59783601760864,2994.8444991111755,19239,CNWS,222.197.197.85,2994.8444991111755,79
0.635,1732510084,,False,80,64770_00015,2024-11-25_12-48-04,36.46361589431763,3031.308115005493,19239,CNWS,222.197.197.85,3031.308115005493,80
0.63,1732510122,,False,81,64770_00015,2024-11-25_12-48-42,37.50268316268921,3068.8107981681824,19239,CNWS,222.197.197.85,3068.8107981681824,81
0.61,1732510158,,False,82,64770_00015,2024-11-25_12-49-18,36.90778994560242,3105.718588113785,19239,CNWS,222.197.197.85,3105.718588113785,82
0.625,1732510196,,False,83,64770_00015,2024-11-25_12-49-56,37.755436182022095,3143.474024295807,19239,CNWS,222.197.197.85,3143.474024295807,83
0.6275,1732510233,,False,84,64770_00015,2024-11-25_12-50-33,37.21039175987244,3180.6844160556793,19239,CNWS,222.197.197.85,3180.6844160556793,84
0.6175,1732510273,,False,85,64770_00015,2024-11-25_12-51-13,40.0316379070282,3220.7160539627075,19239,CNWS,222.197.197.85,3220.7160539627075,85
0.63,1732510307,,False,86,64770_00015,2024-11-25_12-51-47,33.99461793899536,3254.710671901703,19239,CNWS,222.197.197.85,3254.710671901703,86
0.6225,1732510344,,False,87,64770_00015,2024-11-25_12-52-24,36.56646370887756,3291.2771356105804,19239,CNWS,222.197.197.85,3291.2771356105804,87
0.6375,1732510376,,False,88,64770_00015,2024-11-25_12-52-56,31.58778738975525,3322.8649230003357,19239,CNWS,222.197.197.85,3322.8649230003357,88
0.61,1732510411,,False,89,64770_00015,2024-11-25_12-53-31,35.714441776275635,3358.5793647766113,19239,CNWS,222.197.197.85,3358.5793647766113,89
0.6275,1732510449,,False,90,64770_00015,2024-11-25_12-54-09,37.80331063270569,3396.382675409317,19239,CNWS,222.197.197.85,3396.382675409317,90
0.635,1732510491,,False,91,64770_00015,2024-11-25_12-54-51,41.39630913734436,3437.7789845466614,19239,CNWS,222.197.197.85,3437.7789845466614,91
0.61,1732510526,,False,92,64770_00015,2024-11-25_12-55-26,35.551053285598755,3473.33003783226,19239,CNWS,222.197.197.85,3473.33003783226,92
0.6375,1732510571,,False,93,64770_00015,2024-11-25_12-56-11,44.60261654853821,3517.9326543807983,19239,CNWS,222.197.197.85,3517.9326543807983,93
0.62,1732510609,,False,94,64770_00015,2024-11-25_12-56-49,38.6694221496582,3556.6020765304565,19239,CNWS,222.197.197.85,3556.6020765304565,94
0.6175,1732510649,,False,95,64770_00015,2024-11-25_12-57-29,39.641308307647705,3596.2433848381042,19239,CNWS,222.197.197.85,3596.2433848381042,95
0.6275,1732510692,,False,96,64770_00015,2024-11-25_12-58-12,42.48651838302612,3638.7299032211304,19239,CNWS,222.197.197.85,3638.7299032211304,96
0.62,1732510728,,False,97,64770_00015,2024-11-25_12-58-48,36.546276569366455,3675.276179790497,19239,CNWS,222.197.197.85,3675.276179790497,97
0.635,1732510778,,False,98,64770_00015,2024-11-25_12-59-38,49.52084493637085,3724.7970247268677,19239,CNWS,222.197.197.85,3724.7970247268677,98
0.645,1732510813,,False,99,64770_00015,2024-11-25_13-00-13,35.76562452316284,3760.5626492500305,19239,CNWS,222.197.197.85,3760.5626492500305,99
0.635,1732510851,,False,100,64770_00015,2024-11-25_13-00-51,37.27984261512756,3797.842491865158,19239,CNWS,222.197.197.85,3797.842491865158,100
0.6325,1732510892,,False,101,64770_00015,2024-11-25_13-01-32,41.61827731132507,3839.460769176483,19239,CNWS,222.197.197.85,3839.460769176483,101
0.6125,1732510934,,False,102,64770_00015,2024-11-25_13-02-14,41.57062220573425,3881.0313913822174,19239,CNWS,222.197.197.85,3881.0313913822174,102
0.6175,1732510972,,False,103,64770_00015,2024-11-25_13-02-52,38.35626673698425,3919.3876581192017,19239,CNWS,222.197.197.85,3919.3876581192017,103
0.625,1732511016,,False,104,64770_00015,2024-11-25_13-03-36,43.25677442550659,3962.6444325447083,19239,CNWS,222.197.197.85,3962.6444325447083,104
0.64,1732511059,,False,105,64770_00015,2024-11-25_13-04-19,43.62548041343689,4006.269912958145,19239,CNWS,222.197.197.85,4006.269912958145,105
