acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4125,1732519078,,False,1,5c0a1_00007,2024-11-25_15-17-58,14.816628217697144,14.816628217697144,42917,CNWS,222.197.197.85,14.816628217697144,1
0.4175,1732519093,,False,2,5c0a1_00007,2024-11-25_15-18-13,15.288190603256226,30.10481882095337,42917,CNWS,222.197.197.85,30.10481882095337,2
0.4175,1732519144,,False,3,5c0a1_00007,2024-11-25_15-19-04,50.93273186683655,81.03755068778992,42917,CNWS,222.197.197.85,81.03755068778992,3
0.415,1732519193,,False,4,5c0a1_00007,2024-11-25_15-19-53,49.36886548995972,130.40641617774963,42917,CNWS,222.197.197.85,130.40641617774963,4
0.4125,1732519241,,False,5,5c0a1_00007,2024-11-25_15-20-41,47.140756607055664,177.5471727848053,42917,CNWS,222.197.197.85,177.5471727848053,5
0.4125,1732519255,,False,6,5c0a1_00007,2024-11-25_15-20-55,14.811195850372314,192.3583686351776,42917,CNWS,222.197.197.85,192.3583686351776,6
0.4075,1732519270,,False,7,5c0a1_00007,2024-11-25_15-21-10,14.645383358001709,207.00375199317932,42917,CNWS,222.197.197.85,207.00375199317932,7
0.445,1732519300,,False,8,5c0a1_00007,2024-11-25_15-21-40,30.057233572006226,237.06098556518555,42917,CNWS,222.197.197.85,237.06098556518555,8
0.4525,1732519329,,False,9,5c0a1_00007,2024-11-25_15-22-09,28.49331307411194,265.5542986392975,42917,CNWS,222.197.197.85,265.5542986392975,9
0.4525,1732519364,,False,10,5c0a1_00007,2024-11-25_15-22-44,35.16443657875061,300.7187352180481,42917,CNWS,222.197.197.85,300.7187352180481,10
0.445,1732519379,,False,11,5c0a1_00007,2024-11-25_15-22-59,14.739031553268433,315.4577667713165,42917,CNWS,222.197.197.85,315.4577667713165,11
0.4475,1732519395,,False,12,5c0a1_00007,2024-11-25_15-23-15,16.478107452392578,331.9358742237091,42917,CNWS,222.197.197.85,331.9358742237091,12
0.46,1732519412,,False,13,5c0a1_00007,2024-11-25_15-23-32,17.202516317367554,349.13839054107666,42917,CNWS,222.197.197.85,349.13839054107666,13
0.455,1732519437,,False,14,5c0a1_00007,2024-11-25_15-23-57,24.825676441192627,373.9640669822693,42917,CNWS,222.197.197.85,373.9640669822693,14
0.46,1732519489,,False,15,5c0a1_00007,2024-11-25_15-24-49,52.38190197944641,426.3459689617157,42917,CNWS,222.197.197.85,426.3459689617157,15
0.45,1732519506,,False,16,5c0a1_00007,2024-11-25_15-25-06,16.886062145233154,443.23203110694885,42917,CNWS,222.197.197.85,443.23203110694885,16
0.475,1732519522,,False,17,5c0a1_00007,2024-11-25_15-25-22,15.563302040100098,458.79533314704895,42917,CNWS,222.197.197.85,458.79533314704895,17
0.465,1732519540,,False,18,5c0a1_00007,2024-11-25_15-25-40,17.695460319519043,476.490793466568,42917,CNWS,222.197.197.85,476.490793466568,18
