acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4175,1732532114,,False,1,b5f67_00000,2024-11-25_18-55-14,15.285685062408447,15.285685062408447,94058,CNWS,222.197.197.85,15.285685062408447,1
0.3825,1732532129,,False,2,b5f67_00000,2024-11-25_18-55-29,14.662162780761719,29.947847843170166,94058,CNWS,222.197.197.85,29.947847843170166,2
0.3675,1732532143,,False,3,b5f67_00000,2024-11-25_18-55-43,14.489275932312012,44.43712377548218,94058,CNWS,222.197.197.85,44.43712377548218,3
0.3675,1732532157,,False,4,b5f67_00000,2024-11-25_18-55-57,14.38585352897644,58.82297730445862,94058,CNWS,222.197.197.85,58.82297730445862,4
0.3775,1732532172,,False,5,b5f67_00000,2024-11-25_18-56-12,14.651671409606934,73.47464871406555,94058,CNWS,222.197.197.85,73.47464871406555,5
0.3925,1732532187,,False,6,b5f67_00000,2024-11-25_18-56-27,14.502161502838135,87.97681021690369,94058,CNWS,222.197.197.85,87.97681021690369,6
0.4075,1732532217,,False,7,b5f67_00000,2024-11-25_18-56-57,29.967326164245605,117.94413638114929,94058,CNWS,222.197.197.85,117.94413638114929,7
0.42,1732532266,,False,8,b5f67_00000,2024-11-25_18-57-46,49.366753339767456,167.31088972091675,94058,CNWS,222.197.197.85,167.31088972091675,8
0.4275,1732532289,,False,9,b5f67_00000,2024-11-25_18-58-09,22.85100483894348,190.16189455986023,94058,CNWS,222.197.197.85,190.16189455986023,9
0.4325,1732532305,,False,10,b5f67_00000,2024-11-25_18-58-25,15.913762331008911,206.07565689086914,94058,CNWS,222.197.197.85,206.07565689086914,10
0.4325,1732532319,,False,11,b5f67_00000,2024-11-25_18-58-39,14.507116317749023,220.58277320861816,94058,CNWS,222.197.197.85,220.58277320861816,11
0.4525,1732532335,,False,12,b5f67_00000,2024-11-25_18-58-55,15.992422580718994,236.57519578933716,94058,CNWS,222.197.197.85,236.57519578933716,12
