acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.5075,1732670325,,False,1,73498_00008,2024-11-27_09-18-45,39.39590096473694,39.39590096473694,302667,CNWS,222.197.197.85,39.39590096473694,1
0.5075,1732670361,,False,2,73498_00008,2024-11-27_09-19-21,36.364572048187256,75.7604730129242,302667,CNWS,222.197.197.85,75.7604730129242,2
0.4725,1732670398,,False,3,73498_00008,2024-11-27_09-19-58,36.14677715301514,111.90725016593933,302667,CNWS,222.197.197.85,111.90725016593933,3
0.5825,1732670434,,False,4,73498_00008,2024-11-27_09-20-34,36.710917949676514,148.61816811561584,302667,CNWS,222.197.197.85,148.61816811561584,4
0.5425,1732670471,,False,5,73498_00008,2024-11-27_09-21-11,36.93643546104431,185.55460357666016,302667,CNWS,222.197.197.85,185.55460357666016,5
0.5775,1732670522,,False,6,73498_00008,2024-11-27_09-22-02,50.47378444671631,236.02838802337646,302667,CNWS,222.197.197.85,236.02838802337646,6
0.5325,1732670564,,False,7,73498_00008,2024-11-27_09-22-44,42.50253677368164,278.5309247970581,302667,CNWS,222.197.197.85,278.5309247970581,7
0.5625,1732670598,,False,8,73498_00008,2024-11-27_09-23-18,33.86121678352356,312.39214158058167,302667,CNWS,222.197.197.85,312.39214158058167,8
0.615,1732670635,,False,9,73498_00008,2024-11-27_09-23-55,36.604042530059814,348.9961841106415,302667,CNWS,222.197.197.85,348.9961841106415,9
0.605,1732670671,,False,10,73498_00008,2024-11-27_09-24-31,35.918970346450806,384.9151544570923,302667,CNWS,222.197.197.85,384.9151544570923,10
0.5825,1732670706,,False,11,73498_00008,2024-11-27_09-25-06,35.76417398452759,420.6793284416199,302667,CNWS,222.197.197.85,420.6793284416199,11
0.5425,1732670743,,False,12,73498_00008,2024-11-27_09-25-43,36.70453643798828,457.38386487960815,302667,CNWS,222.197.197.85,457.38386487960815,12
0.6125,1732670778,,False,13,73498_00008,2024-11-27_09-26-18,35.02174949645996,492.4056143760681,302667,CNWS,222.197.197.85,492.4056143760681,13
0.5975,1732670823,,False,14,73498_00008,2024-11-27_09-27-03,44.5436315536499,536.949245929718,302667,CNWS,222.197.197.85,536.949245929718,14
0.63,1732670871,,False,15,73498_00008,2024-11-27_09-27-51,48.36986255645752,585.3191084861755,302667,CNWS,222.197.197.85,585.3191084861755,15
0.63,1732670908,,False,16,73498_00008,2024-11-27_09-28-28,36.8148307800293,622.1339392662048,302667,CNWS,222.197.197.85,622.1339392662048,16
