acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4975,1732685386,,False,1,9168f_00002,2024-11-27_13-29-46,18.191524267196655,18.191524267196655,327868,CNWS,222.197.197.85,18.191524267196655,1
0.51,1732685412,,False,2,9168f_00002,2024-11-27_13-30-12,25.71820306777954,43.909727334976196,327868,CNWS,222.197.197.85,43.909727334976196,2
0.5375,1732685442,,False,3,9168f_00002,2024-11-27_13-30-42,30.652583122253418,74.56231045722961,327868,CNWS,222.197.197.85,74.56231045722961,3
0.59,1732685458,,False,4,9168f_00002,2024-11-27_13-30-58,15.15662431716919,89.7189347743988,327868,CNWS,222.197.197.85,89.7189347743988,4
0.655,1732685472,,False,5,9168f_00002,2024-11-27_13-31-12,14.491244316101074,104.21017909049988,327868,CNWS,222.197.197.85,104.21017909049988,5
0.61,1732685488,,False,6,9168f_00002,2024-11-27_13-31-28,15.741694450378418,119.9518735408783,327868,CNWS,222.197.197.85,119.9518735408783,6
0.6525,1732685504,,False,7,9168f_00002,2024-11-27_13-31-44,16.508403301239014,136.4602768421173,327868,CNWS,222.197.197.85,136.4602768421173,7
0.6975,1732685525,,False,8,9168f_00002,2024-11-27_13-32-05,21.021726369857788,157.4820032119751,327868,CNWS,222.197.197.85,157.4820032119751,8
0.665,1732685542,,False,9,9168f_00002,2024-11-27_13-32-22,16.39732837677002,173.87933158874512,327868,CNWS,222.197.197.85,173.87933158874512,9
0.7,1732685587,,False,10,9168f_00002,2024-11-27_13-33-07,45.139740228652954,219.01907181739807,327868,CNWS,222.197.197.85,219.01907181739807,10
0.72,1732685602,,False,11,9168f_00002,2024-11-27_13-33-22,15.233133792877197,234.25220561027527,327868,CNWS,222.197.197.85,234.25220561027527,11
0.73,1732685653,,False,12,9168f_00002,2024-11-27_13-34-13,50.74752736091614,284.9997329711914,327868,CNWS,222.197.197.85,284.9997329711914,12
0.6925,1732685692,,False,13,9168f_00002,2024-11-27_13-34-52,39.155043601989746,324.15477657318115,327868,CNWS,222.197.197.85,324.15477657318115,13
0.7175,1732685707,,False,14,9168f_00002,2024-11-27_13-35-07,14.801324367523193,338.95610094070435,327868,CNWS,222.197.197.85,338.95610094070435,14
0.6975,1732685734,,False,15,9168f_00002,2024-11-27_13-35-34,26.865946531295776,365.8220474720001,327868,CNWS,222.197.197.85,365.8220474720001,15
0.6775,1732685767,,False,16,9168f_00002,2024-11-27_13-36-07,33.33522295951843,399.15727043151855,327868,CNWS,222.197.197.85,399.15727043151855,16
