acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.475,1732880110,,False,1,e643b_00015,2024-11-29_19-35-10,37.41083097457886,37.41083097457886,218658,CNWS,222.197.197.40,37.41083097457886,1
0.535,1732880149,,False,2,e643b_00015,2024-11-29_19-35-49,38.31601524353027,75.72684621810913,218658,CNWS,222.197.197.40,75.72684621810913,2
0.565,1732880211,,False,3,e643b_00015,2024-11-29_19-36-51,62.784154415130615,138.51100063323975,218658,CNWS,222.197.197.40,138.51100063323975,3
0.5975,1732880247,,False,4,e643b_00015,2024-11-29_19-37-27,36.06218338012695,174.5731840133667,218658,CNWS,222.197.197.40,174.5731840133667,4
0.635,1732880294,,False,5,e643b_00015,2024-11-29_19-38-14,46.93081617355347,221.50400018692017,218658,CNWS,222.197.197.40,221.50400018692017,5
0.63,1732880334,,False,6,e643b_00015,2024-11-29_19-38-54,39.72317719459534,261.2271773815155,218658,CNWS,222.197.197.40,261.2271773815155,6
0.6175,1732880371,,False,7,e643b_00015,2024-11-29_19-39-31,36.517080783843994,297.7442581653595,218658,CNWS,222.197.197.40,297.7442581653595,7
0.615,1732880406,,False,8,e643b_00015,2024-11-29_19-40-06,34.84928870201111,332.5935468673706,218658,CNWS,222.197.197.40,332.5935468673706,8
0.6475,1732880446,,False,9,e643b_00015,2024-11-29_19-40-46,40.14416456222534,372.73771142959595,218658,CNWS,222.197.197.40,372.73771142959595,9
0.6025,1732880486,,False,10,e643b_00015,2024-11-29_19-41-26,40.04395246505737,412.7816638946533,218658,CNWS,222.197.197.40,412.7816638946533,10
0.6325,1732880517,,False,11,e643b_00015,2024-11-29_19-41-57,31.12988591194153,443.91154980659485,218658,CNWS,222.197.197.40,443.91154980659485,11
0.6525,1732880574,,False,12,e643b_00015,2024-11-29_19-42-54,56.73250651359558,500.64405632019043,218658,CNWS,222.197.197.40,500.64405632019043,12
0.6425,1732880608,,False,13,e643b_00015,2024-11-29_19-43-28,34.40153956413269,535.0455958843231,218658,CNWS,222.197.197.40,535.0455958843231,13
0.675,1732880664,,False,14,e643b_00015,2024-11-29_19-44-24,55.66741180419922,590.7130076885223,218658,CNWS,222.197.197.40,590.7130076885223,14
0.6275,1732880714,,False,15,e643b_00015,2024-11-29_19-45-14,50.08713221549988,640.8001399040222,218658,CNWS,222.197.197.40,640.8001399040222,15
0.6525,1732880769,,False,16,e643b_00015,2024-11-29_19-46-09,54.815648317337036,695.6157882213593,218658,CNWS,222.197.197.40,695.6157882213593,16
0.65,1732880807,,False,17,e643b_00015,2024-11-29_19-46-47,38.49301218986511,734.1088004112244,218658,CNWS,222.197.197.40,734.1088004112244,17
0.6725,1732880837,,False,18,e643b_00015,2024-11-29_19-47-17,30.12478518486023,764.2335855960846,218658,CNWS,222.197.197.40,764.2335855960846,18
0.665,1732880875,,False,19,e643b_00015,2024-11-29_19-47-55,37.366058349609375,801.599643945694,218658,CNWS,222.197.197.40,801.599643945694,19
0.665,1732880913,,False,20,e643b_00015,2024-11-29_19-48-33,38.57434630393982,840.1739902496338,218658,CNWS,222.197.197.40,840.1739902496338,20
0.6575,1732880951,,False,21,e643b_00015,2024-11-29_19-49-11,38.33595252037048,878.5099427700043,218658,CNWS,222.197.197.40,878.5099427700043,21
0.655,1732881007,,False,22,e643b_00015,2024-11-29_19-50-07,55.56065797805786,934.0706007480621,218658,CNWS,222.197.197.40,934.0706007480621,22
0.6575,1732881072,,False,23,e643b_00015,2024-11-29_19-51-12,65.20756673812866,999.2781674861908,218658,CNWS,222.197.197.40,999.2781674861908,23
0.6625,1732881106,,False,24,e643b_00015,2024-11-29_19-51-46,33.85302186012268,1033.1311893463135,218658,CNWS,222.197.197.40,1033.1311893463135,24
0.68,1732881147,,False,25,e643b_00015,2024-11-29_19-52-27,40.77104592323303,1073.9022352695465,218658,CNWS,222.197.197.40,1073.9022352695465,25
0.7225,1732881182,,False,26,e643b_00015,2024-11-29_19-53-02,34.94551229476929,1108.8477475643158,218658,CNWS,222.197.197.40,1108.8477475643158,26
0.69,1732881215,,False,27,e643b_00015,2024-11-29_19-53-35,33.40532970428467,1142.2530772686005,218658,CNWS,222.197.197.40,1142.2530772686005,27
0.68,1732881249,,False,28,e643b_00015,2024-11-29_19-54-09,34.02245569229126,1176.2755329608917,218658,CNWS,222.197.197.40,1176.2755329608917,28
0.6825,1732881288,,False,29,e643b_00015,2024-11-29_19-54-48,38.586881160736084,1214.8624141216278,218658,CNWS,222.197.197.40,1214.8624141216278,29
0.6625,1732881341,,False,30,e643b_00015,2024-11-29_19-55-41,53.585171699523926,1268.4475858211517,218658,CNWS,222.197.197.40,1268.4475858211517,30
0.69,1732881382,,False,31,e643b_00015,2024-11-29_19-56-22,40.88149166107178,1309.3290774822235,218658,CNWS,222.197.197.40,1309.3290774822235,31
0.695,1732881437,,False,32,e643b_00015,2024-11-29_19-57-17,55.157641649246216,1364.4867191314697,218658,CNWS,222.197.197.40,1364.4867191314697,32
0.6725,1732881471,,False,33,e643b_00015,2024-11-29_19-57-51,33.74268078804016,1398.22939991951,218658,CNWS,222.197.197.40,1398.22939991951,33
0.665,1732881515,,False,34,e643b_00015,2024-11-29_19-58-35,43.58574151992798,1441.8151414394379,218658,CNWS,222.197.197.40,1441.8151414394379,34
0.6425,1732881553,,False,35,e643b_00015,2024-11-29_19-59-13,38.2314727306366,1480.0466141700745,218658,CNWS,222.197.197.40,1480.0466141700745,35
0.665,1732881601,,False,36,e643b_00015,2024-11-29_20-00-01,48.17243456840515,1528.2190487384796,218658,CNWS,222.197.197.40,1528.2190487384796,36
0.6925,1732881645,,False,37,e643b_00015,2024-11-29_20-00-45,44.1279194355011,1572.3469681739807,218658,CNWS,222.197.197.40,1572.3469681739807,37
0.675,1732881695,,False,38,e643b_00015,2024-11-29_20-01-35,49.77531838417053,1622.1222865581512,218658,CNWS,222.197.197.40,1622.1222865581512,38
0.71,1732881729,,False,39,e643b_00015,2024-11-29_20-02-09,33.754759550094604,1655.8770461082458,218658,CNWS,222.197.197.40,1655.8770461082458,39
0.67,1732881781,,False,40,e643b_00015,2024-11-29_20-03-01,52.012497663497925,1707.8895437717438,218658,CNWS,222.197.197.40,1707.8895437717438,40
0.6725,1732881829,,False,41,e643b_00015,2024-11-29_20-03-49,48.21342372894287,1756.1029675006866,218658,CNWS,222.197.197.40,1756.1029675006866,41
0.695,1732881889,,False,42,e643b_00015,2024-11-29_20-04-49,60.14051675796509,1816.2434842586517,218658,CNWS,222.197.197.40,1816.2434842586517,42
0.6975,1732881926,,False,43,e643b_00015,2024-11-29_20-05-26,37.17868518829346,1853.4221694469452,218658,CNWS,222.197.197.40,1853.4221694469452,43
0.6875,1732881983,,False,44,e643b_00015,2024-11-29_20-06-23,56.56945323944092,1909.991622686386,218658,CNWS,222.197.197.40,1909.991622686386,44
0.7,1732882044,,False,45,e643b_00015,2024-11-29_20-07-24,60.55720591545105,1970.5488286018372,218658,CNWS,222.197.197.40,1970.5488286018372,45
0.7,1732882079,,False,46,e643b_00015,2024-11-29_20-07-59,35.2423369884491,2005.7911655902863,218658,CNWS,222.197.197.40,2005.7911655902863,46
0.71,1732882126,,False,47,e643b_00015,2024-11-29_20-08-46,47.413588762283325,2053.2047543525696,218658,CNWS,222.197.197.40,2053.2047543525696,47
0.695,1732882179,,False,48,e643b_00015,2024-11-29_20-09-39,52.47759485244751,2105.682349205017,218658,CNWS,222.197.197.40,2105.682349205017,48
0.685,1732882219,,False,49,e643b_00015,2024-11-29_20-10-19,40.31602120399475,2145.998370409012,218658,CNWS,222.197.197.40,2145.998370409012,49
0.6925,1732882274,,False,50,e643b_00015,2024-11-29_20-11-14,55.434207916259766,2201.4325783252716,218658,CNWS,222.197.197.40,2201.4325783252716,50
0.705,1732882321,,False,51,e643b_00015,2024-11-29_20-12-01,46.23991370201111,2247.6724920272827,218658,CNWS,222.197.197.40,2247.6724920272827,51
0.735,1732882371,,False,52,e643b_00015,2024-11-29_20-12-51,50.18306827545166,2297.8555603027344,218658,CNWS,222.197.197.40,2297.8555603027344,52
0.6775,1732882405,,False,53,e643b_00015,2024-11-29_20-13-25,34.39556670188904,2332.2511270046234,218658,CNWS,222.197.197.40,2332.2511270046234,53
0.695,1732882439,,False,54,e643b_00015,2024-11-29_20-13-59,33.3246750831604,2365.575802087784,218658,CNWS,222.197.197.40,2365.575802087784,54
0.685,1732882473,,False,55,e643b_00015,2024-11-29_20-14-33,34.48777723312378,2400.0635793209076,218658,CNWS,222.197.197.40,2400.0635793209076,55
0.7125,1732882505,,False,56,e643b_00015,2024-11-29_20-15-05,31.928685188293457,2431.992264509201,218658,CNWS,222.197.197.40,2431.992264509201,56
0.7275,1732882551,,False,57,e643b_00015,2024-11-29_20-15-51,46.09398794174194,2478.086252450943,218658,CNWS,222.197.197.40,2478.086252450943,57
0.71,1732882588,,False,58,e643b_00015,2024-11-29_20-16-28,36.45780611038208,2514.544058561325,218658,CNWS,222.197.197.40,2514.544058561325,58
0.7125,1732882623,,False,59,e643b_00015,2024-11-29_20-17-03,35.53896403312683,2550.083022594452,218658,CNWS,222.197.197.40,2550.083022594452,59
0.7225,1732882661,,False,60,e643b_00015,2024-11-29_20-17-41,38.01142644882202,2588.094449043274,218658,CNWS,222.197.197.40,2588.094449043274,60
0.695,1732882706,,False,61,e643b_00015,2024-11-29_20-18-26,44.86032748222351,2632.9547765254974,218658,CNWS,222.197.197.40,2632.9547765254974,61
0.69,1732882749,,False,62,e643b_00015,2024-11-29_20-19-09,42.93146085739136,2675.886237382889,218658,CNWS,222.197.197.40,2675.886237382889,62
0.7075,1732882789,,False,63,e643b_00015,2024-11-29_20-19-49,40.33944344520569,2716.2256808280945,218658,CNWS,222.197.197.40,2716.2256808280945,63
0.665,1732882836,,False,64,e643b_00015,2024-11-29_20-20-36,46.494699001312256,2762.7203798294067,218658,CNWS,222.197.197.40,2762.7203798294067,64
0.6875,1732882879,,False,65,e643b_00015,2024-11-29_20-21-19,43.49164056777954,2806.2120203971863,218658,CNWS,222.197.197.40,2806.2120203971863,65
0.6775,1732882916,,False,66,e643b_00015,2024-11-29_20-21-56,36.45803666114807,2842.6700570583344,218658,CNWS,222.197.197.40,2842.6700570583344,66
0.7125,1732882958,,False,67,e643b_00015,2024-11-29_20-22-38,42.146360874176025,2884.8164179325104,218658,CNWS,222.197.197.40,2884.8164179325104,67
