acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4475,1732883034,,False,1,b0b75_00005,2024-11-29_20-23-54,45.132503271102905,45.132503271102905,362487,CNWS,222.197.197.40,45.132503271102905,1
0.475,1732883062,,False,2,b0b75_00005,2024-11-29_20-24-22,27.702574491500854,72.83507776260376,362487,CNWS,222.197.197.40,72.83507776260376,2
0.5425,1732883088,,False,3,b0b75_00005,2024-11-29_20-24-48,25.72493314743042,98.56001091003418,362487,CNWS,222.197.197.40,98.56001091003418,3
0.545,1732883114,,False,4,b0b75_00005,2024-11-29_20-25-14,25.878336906433105,124.43834781646729,362487,CNWS,222.197.197.40,124.43834781646729,4
0.6025,1732883149,,False,5,b0b75_00005,2024-11-29_20-25-49,35.58443236351013,160.02278017997742,362487,CNWS,222.197.197.40,160.02278017997742,5
0.605,1732883179,,False,6,b0b75_00005,2024-11-29_20-26-19,30.24047875404358,190.263258934021,362487,CNWS,222.197.197.40,190.263258934021,6
0.5925,1732883221,,False,7,b0b75_00005,2024-11-29_20-27-01,42.058943033218384,232.32220196723938,362487,CNWS,222.197.197.40,232.32220196723938,7
0.65,1732883250,,False,8,b0b75_00005,2024-11-29_20-27-30,28.614396810531616,260.936598777771,362487,CNWS,222.197.197.40,260.936598777771,8
0.62,1732883273,,False,9,b0b75_00005,2024-11-29_20-27-53,22.702638149261475,283.63923692703247,362487,CNWS,222.197.197.40,283.63923692703247,9
0.63,1732883292,,False,10,b0b75_00005,2024-11-29_20-28-12,19.135226726531982,302.77446365356445,362487,CNWS,222.197.197.40,302.77446365356445,10
0.6375,1732883308,,False,11,b0b75_00005,2024-11-29_20-28-28,15.988497734069824,318.7629613876343,362487,CNWS,222.197.197.40,318.7629613876343,11
0.6,1732883323,,False,12,b0b75_00005,2024-11-29_20-28-43,14.797987937927246,333.5609493255615,362487,CNWS,222.197.197.40,333.5609493255615,12
0.6425,1732883352,,False,13,b0b75_00005,2024-11-29_20-29-12,29.248296976089478,362.809246301651,362487,CNWS,222.197.197.40,362.809246301651,13
0.645,1732883377,,False,14,b0b75_00005,2024-11-29_20-29-37,24.727184057235718,387.5364303588867,362487,CNWS,222.197.197.40,387.5364303588867,14
0.615,1732883403,,False,15,b0b75_00005,2024-11-29_20-30-03,25.845566749572754,413.3819971084595,362487,CNWS,222.197.197.40,413.3819971084595,15
0.635,1732883448,,False,16,b0b75_00005,2024-11-29_20-30-48,45.18015933036804,458.5621564388275,362487,CNWS,222.197.197.40,458.5621564388275,16
0.6225,1732883500,,False,17,b0b75_00005,2024-11-29_20-31-40,52.734410524368286,511.2965669631958,362487,CNWS,222.197.197.40,511.2965669631958,17
0.62,1732883549,,False,18,b0b75_00005,2024-11-29_20-32-29,48.14913988113403,559.4457068443298,362487,CNWS,222.197.197.40,559.4457068443298,18
0.6325,1732883573,,False,19,b0b75_00005,2024-11-29_20-32-53,23.96360945701599,583.4093163013458,362487,CNWS,222.197.197.40,583.4093163013458,19
0.655,1732883588,,False,20,b0b75_00005,2024-11-29_20-33-08,15.077236652374268,598.4865529537201,362487,CNWS,222.197.197.40,598.4865529537201,20
0.6525,1732883610,,False,21,b0b75_00005,2024-11-29_20-33-30,22.192790031433105,620.6793429851532,362487,CNWS,222.197.197.40,620.6793429851532,21
0.6375,1732883641,,False,22,b0b75_00005,2024-11-29_20-34-01,31.483052730560303,652.1623957157135,362487,CNWS,222.197.197.40,652.1623957157135,22
0.6675,1732883677,,False,23,b0b75_00005,2024-11-29_20-34-37,35.57989692687988,687.7422926425934,362487,CNWS,222.197.197.40,687.7422926425934,23
0.6575,1732883706,,False,24,b0b75_00005,2024-11-29_20-35-06,29.321139574050903,717.0634322166443,362487,CNWS,222.197.197.40,717.0634322166443,24
0.65,1732883745,,False,25,b0b75_00005,2024-11-29_20-35-45,38.58461904525757,755.6480512619019,362487,CNWS,222.197.197.40,755.6480512619019,25
0.64,1732883786,,False,26,b0b75_00005,2024-11-29_20-36-26,40.742881536483765,796.3909327983856,362487,CNWS,222.197.197.40,796.3909327983856,26
0.655,1732883816,,False,27,b0b75_00005,2024-11-29_20-36-56,30.814075708389282,827.2050085067749,362487,CNWS,222.197.197.40,827.2050085067749,27
0.6725,1732883862,,False,28,b0b75_00005,2024-11-29_20-37-42,46.058907985687256,873.2639164924622,362487,CNWS,222.197.197.40,873.2639164924622,28
0.67,1732883906,,False,29,b0b75_00005,2024-11-29_20-38-26,43.92286777496338,917.1867842674255,362487,CNWS,222.197.197.40,917.1867842674255,29
0.69,1732883959,,False,30,b0b75_00005,2024-11-29_20-39-19,53.029120445251465,970.215904712677,362487,CNWS,222.197.197.40,970.215904712677,30
0.67,1732884013,,False,31,b0b75_00005,2024-11-29_20-40-13,53.18830108642578,1023.4042057991028,362487,CNWS,222.197.197.40,1023.4042057991028,31
0.69,1732884066,,False,32,b0b75_00005,2024-11-29_20-41-06,53.26251459121704,1076.6667203903198,362487,CNWS,222.197.197.40,1076.6667203903198,32
0.675,1732884119,,False,33,b0b75_00005,2024-11-29_20-41-59,53.43154168128967,1130.0982620716095,362487,CNWS,222.197.197.40,1130.0982620716095,33
0.685,1732884172,,False,34,b0b75_00005,2024-11-29_20-42-52,53.00379276275635,1183.1020548343658,362487,CNWS,222.197.197.40,1183.1020548343658,34
0.68,1732884225,,False,35,b0b75_00005,2024-11-29_20-43-45,53.03038024902344,1236.1324350833893,362487,CNWS,222.197.197.40,1236.1324350833893,35
0.645,1732884276,,False,36,b0b75_00005,2024-11-29_20-44-36,51.088653802871704,1287.221088886261,362487,CNWS,222.197.197.40,1287.221088886261,36
0.675,1732884302,,False,37,b0b75_00005,2024-11-29_20-45-02,25.050007820129395,1312.2710967063904,362487,CNWS,222.197.197.40,1312.2710967063904,37
0.6825,1732884326,,False,38,b0b75_00005,2024-11-29_20-45-26,24.971874713897705,1337.242971420288,362487,CNWS,222.197.197.40,1337.242971420288,38
0.6675,1732884344,,False,39,b0b75_00005,2024-11-29_20-45-44,17.02726173400879,1354.2702331542969,362487,CNWS,222.197.197.40,1354.2702331542969,39
0.7125,1732884358,,False,40,b0b75_00005,2024-11-29_20-45-58,14.919646978378296,1369.1898801326752,362487,CNWS,222.197.197.40,1369.1898801326752,40
0.6675,1732884374,,False,41,b0b75_00005,2024-11-29_20-46-14,15.924481630325317,1385.1143617630005,362487,CNWS,222.197.197.40,1385.1143617630005,41
