acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.475,1732674248,,False,1,9c0ee_00008,2024-11-27_10-24-09,29.3030948638916,29.3030948638916,311824,CNWS,222.197.197.85,29.3030948638916,1
0.5325,1732674270,,False,2,9c0ee_00008,2024-11-27_10-24-30,21.88341188430786,51.18650674819946,311824,CNWS,222.197.197.85,51.18650674819946,2
0.5625,1732674302,,False,3,9c0ee_00008,2024-11-27_10-25-02,31.5091233253479,82.69563007354736,311824,CNWS,222.197.197.85,82.69563007354736,3
0.63,1732674329,,False,4,9c0ee_00008,2024-11-27_10-25-29,26.82931113243103,109.5249412059784,311824,CNWS,222.197.197.85,109.5249412059784,4
0.645,1732674358,,False,5,9c0ee_00008,2024-11-27_10-25-58,29.079662322998047,138.60460352897644,311824,CNWS,222.197.197.85,138.60460352897644,5
0.64,1732674388,,False,6,9c0ee_00008,2024-11-27_10-26-28,30.431357622146606,169.03596115112305,311824,CNWS,222.197.197.85,169.03596115112305,6
0.6375,1732674419,,False,7,9c0ee_00008,2024-11-27_10-26-59,30.740558624267578,199.77651977539062,311824,CNWS,222.197.197.85,199.77651977539062,7
0.6275,1732674456,,False,8,9c0ee_00008,2024-11-27_10-27-36,36.632105350494385,236.408625125885,311824,CNWS,222.197.197.85,236.408625125885,8
0.6175,1732674477,,False,9,9c0ee_00008,2024-11-27_10-27-57,21.33163833618164,257.74026346206665,311824,CNWS,222.197.197.85,257.74026346206665,9
0.625,1732674506,,False,10,9c0ee_00008,2024-11-27_10-28-26,29.254603385925293,286.99486684799194,311824,CNWS,222.197.197.85,286.99486684799194,10
0.6075,1732674529,,False,11,9c0ee_00008,2024-11-27_10-28-49,22.845341444015503,309.84020829200745,311824,CNWS,222.197.197.85,309.84020829200745,11
0.6275,1732674586,,False,12,9c0ee_00008,2024-11-27_10-29-46,57.33136057853699,367.17156887054443,311824,CNWS,222.197.197.85,367.17156887054443,12
0.6225,1732674648,,False,13,9c0ee_00008,2024-11-27_10-30-48,62.04743814468384,429.21900701522827,311824,CNWS,222.197.197.85,429.21900701522827,13
0.6475,1732674710,,False,14,9c0ee_00008,2024-11-27_10-31-50,61.824491024017334,491.0434980392456,311824,CNWS,222.197.197.85,491.0434980392456,14
0.63,1732674755,,False,15,9c0ee_00008,2024-11-27_10-32-35,44.651057958602905,535.6945559978485,311824,CNWS,222.197.197.85,535.6945559978485,15
0.65,1732674773,,False,16,9c0ee_00008,2024-11-27_10-32-53,18.20642900466919,553.9009850025177,311824,CNWS,222.197.197.85,553.9009850025177,16
0.6375,1732674790,,False,17,9c0ee_00008,2024-11-27_10-33-10,17.329963445663452,571.2309484481812,311824,CNWS,222.197.197.85,571.2309484481812,17
0.63,1732674820,,False,18,9c0ee_00008,2024-11-27_10-33-40,29.715033769607544,600.9459822177887,311824,CNWS,222.197.197.85,600.9459822177887,18
0.635,1732674838,,False,19,9c0ee_00008,2024-11-27_10-33-58,18.155799865722656,619.1017820835114,311824,CNWS,222.197.197.85,619.1017820835114,19
0.64,1732674876,,False,20,9c0ee_00008,2024-11-27_10-34-36,37.188101053237915,656.2898831367493,311824,CNWS,222.197.197.85,656.2898831367493,20
0.65,1732674918,,False,21,9c0ee_00008,2024-11-27_10-35-18,42.22985053062439,698.5197336673737,311824,CNWS,222.197.197.85,698.5197336673737,21
0.635,1732674955,,False,22,9c0ee_00008,2024-11-27_10-35-55,37.64822316169739,736.167956829071,311824,CNWS,222.197.197.85,736.167956829071,22
0.6475,1732675001,,False,23,9c0ee_00008,2024-11-27_10-36-41,46.082929849624634,782.2508866786957,311824,CNWS,222.197.197.85,782.2508866786957,23
0.6375,1732675032,,False,24,9c0ee_00008,2024-11-27_10-37-12,30.899914741516113,813.1508014202118,311824,CNWS,222.197.197.85,813.1508014202118,24
0.6425,1732675062,,False,25,9c0ee_00008,2024-11-27_10-37-42,29.396491527557373,842.5472929477692,311824,CNWS,222.197.197.85,842.5472929477692,25
0.6425,1732675114,,False,26,9c0ee_00008,2024-11-27_10-38-34,51.78660011291504,894.3338930606842,311824,CNWS,222.197.197.85,894.3338930606842,26
