acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.445,1732800450,,False,1,72d63_00002,2024-11-28_21-27-30,27.6191303730011,27.6191303730011,13206,CNWS,222.197.197.40,27.6191303730011,1
0.4175,1732800476,,False,2,72d63_00002,2024-11-28_21-27-56,26.530012607574463,54.14914298057556,13206,CNWS,222.197.197.40,54.14914298057556,2
0.44,1732800529,,False,3,72d63_00002,2024-11-28_21-28-49,52.35168743133545,106.50083041191101,13206,CNWS,222.197.197.40,106.50083041191101,3
0.5075,1732800582,,False,4,72d63_00002,2024-11-28_21-29-42,53.936020612716675,160.43685102462769,13206,CNWS,222.197.197.40,160.43685102462769,4
0.505,1732800636,,False,5,72d63_00002,2024-11-28_21-30-36,53.89817714691162,214.3350281715393,13206,CNWS,222.197.197.40,214.3350281715393,5
0.5325,1732800690,,False,6,72d63_00002,2024-11-28_21-31-30,53.819552183151245,268.15458035469055,13206,CNWS,222.197.197.40,268.15458035469055,6
0.5525,1732800744,,False,7,72d63_00002,2024-11-28_21-32-24,53.94351553916931,322.09809589385986,13206,CNWS,222.197.197.40,322.09809589385986,7
0.5625,1732800798,,False,8,72d63_00002,2024-11-28_21-33-18,53.94417071342468,376.04226660728455,13206,CNWS,222.197.197.40,376.04226660728455,8
0.56,1732800852,,False,9,72d63_00002,2024-11-28_21-34-12,53.483478307724,429.52574491500854,13206,CNWS,222.197.197.40,429.52574491500854,9
0.63,1732800905,,False,10,72d63_00002,2024-11-28_21-35-05,53.853554487228394,483.37929940223694,13206,CNWS,222.197.197.40,483.37929940223694,10
0.5475,1732800959,,False,11,72d63_00002,2024-11-28_21-35-59,53.30734968185425,536.6866490840912,13206,CNWS,222.197.197.40,536.6866490840912,11
0.555,1732800992,,False,12,72d63_00002,2024-11-28_21-36-32,33.480040311813354,570.1666893959045,13206,CNWS,222.197.197.40,570.1666893959045,12
0.5875,1732801034,,False,13,72d63_00002,2024-11-28_21-37-14,41.722296953201294,611.8889863491058,13206,CNWS,222.197.197.40,611.8889863491058,13
0.6075,1732801087,,False,14,72d63_00002,2024-11-28_21-38-07,53.47552514076233,665.3645114898682,13206,CNWS,222.197.197.40,665.3645114898682,14
