acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.49,1732850025,,False,1,d4c4b_00015,2024-11-29_11-13-45,45.74707102775574,45.74707102775574,93734,CNWS,222.197.197.40,45.74707102775574,1
0.5625,1732850073,,False,2,d4c4b_00015,2024-11-29_11-14-33,48.405508518218994,94.15257954597473,93734,CNWS,222.197.197.40,94.15257954597473,2
0.6075,1732850113,,False,3,d4c4b_00015,2024-11-29_11-15-13,39.41533803939819,133.56791758537292,93734,CNWS,222.197.197.40,133.56791758537292,3
0.5925,1732850157,,False,4,d4c4b_00015,2024-11-29_11-15-57,44.80335068702698,178.3712682723999,93734,CNWS,222.197.197.40,178.3712682723999,4
0.6575,1732850201,,False,5,d4c4b_00015,2024-11-29_11-16-41,43.45697903633118,221.82824730873108,93734,CNWS,222.197.197.40,221.82824730873108,5
0.6925,1732850231,,False,6,d4c4b_00015,2024-11-29_11-17-11,30.009318113327026,251.8375654220581,93734,CNWS,222.197.197.40,251.8375654220581,6
0.655,1732850276,,False,7,d4c4b_00015,2024-11-29_11-17-56,44.975661754608154,296.81322717666626,93734,CNWS,222.197.197.40,296.81322717666626,7
0.61,1732850321,,False,8,d4c4b_00015,2024-11-29_11-18-41,44.777584075927734,341.590811252594,93734,CNWS,222.197.197.40,341.590811252594,8
0.7,1732850391,,False,9,d4c4b_00015,2024-11-29_11-19-51,70.67880892753601,412.26962018013,93734,CNWS,222.197.197.40,412.26962018013,9
0.7075,1732850470,,False,10,d4c4b_00015,2024-11-29_11-21-10,79.1138334274292,491.3834536075592,93734,CNWS,222.197.197.40,491.3834536075592,10
0.71,1732850559,,False,11,d4c4b_00015,2024-11-29_11-22-39,88.98189735412598,580.3653509616852,93734,CNWS,222.197.197.40,580.3653509616852,11
0.7125,1732850648,,False,12,d4c4b_00015,2024-11-29_11-24-08,88.95247316360474,669.3178241252899,93734,CNWS,222.197.197.40,669.3178241252899,12
0.7425,1732850737,,False,13,d4c4b_00015,2024-11-29_11-25-37,88.90326476097107,758.221088886261,93734,CNWS,222.197.197.40,758.221088886261,13
0.7025,1732850813,,False,14,d4c4b_00015,2024-11-29_11-26-53,75.52075791358948,833.7418467998505,93734,CNWS,222.197.197.40,833.7418467998505,14
0.6475,1732850851,,False,15,d4c4b_00015,2024-11-29_11-27-31,38.16570019721985,871.9075469970703,93734,CNWS,222.197.197.40,871.9075469970703,15
0.6525,1732850892,,False,16,d4c4b_00015,2024-11-29_11-28-12,41.22843885421753,913.1359858512878,93734,CNWS,222.197.197.40,913.1359858512878,16
0.7675,1732850935,,False,17,d4c4b_00015,2024-11-29_11-28-55,42.48559069633484,955.6215765476227,93734,CNWS,222.197.197.40,955.6215765476227,17
0.74,1732850976,,False,18,d4c4b_00015,2024-11-29_11-29-36,41.65152192115784,997.2730984687805,93734,CNWS,222.197.197.40,997.2730984687805,18
0.655,1732851021,,False,19,d4c4b_00015,2024-11-29_11-30-21,45.19459581375122,1042.4676942825317,93734,CNWS,222.197.197.40,1042.4676942825317,19
0.69,1732851064,,False,20,d4c4b_00015,2024-11-29_11-31-04,42.58577752113342,1085.0534718036652,93734,CNWS,222.197.197.40,1085.0534718036652,20
0.715,1732851103,,False,21,d4c4b_00015,2024-11-29_11-31-43,39.300742864608765,1124.354214668274,93734,CNWS,222.197.197.40,1124.354214668274,21
0.7425,1732851142,,False,22,d4c4b_00015,2024-11-29_11-32-22,38.62344741821289,1162.9776620864868,93734,CNWS,222.197.197.40,1162.9776620864868,22
0.715,1732851174,,False,23,d4c4b_00015,2024-11-29_11-32-54,32.42750906944275,1195.4051711559296,93734,CNWS,222.197.197.40,1195.4051711559296,23
0.7,1732851217,,False,24,d4c4b_00015,2024-11-29_11-33-37,42.19929599761963,1237.6044671535492,93734,CNWS,222.197.197.40,1237.6044671535492,24
0.69,1732851243,,False,25,d4c4b_00015,2024-11-29_11-34-03,26.61880850791931,1264.2232756614685,93734,CNWS,222.197.197.40,1264.2232756614685,25
0.6625,1732851270,,False,26,d4c4b_00015,2024-11-29_11-34-30,26.643930435180664,1290.8672060966492,93734,CNWS,222.197.197.40,1290.8672060966492,26
0.7325,1732851297,,False,27,d4c4b_00015,2024-11-29_11-34-57,26.879507780075073,1317.7467138767242,93734,CNWS,222.197.197.40,1317.7467138767242,27
0.73,1732851323,,False,28,d4c4b_00015,2024-11-29_11-35-23,26.26820969581604,1344.0149235725403,93734,CNWS,222.197.197.40,1344.0149235725403,28
0.725,1732851376,,False,29,d4c4b_00015,2024-11-29_11-36-16,52.996886253356934,1397.0118098258972,93734,CNWS,222.197.197.40,1397.0118098258972,29
0.7175,1732851454,,False,30,d4c4b_00015,2024-11-29_11-37-34,77.73632597923279,1474.74813580513,93734,CNWS,222.197.197.40,1474.74813580513,30
0.715,1732851499,,False,31,d4c4b_00015,2024-11-29_11-38-19,45.4406852722168,1520.1888210773468,93734,CNWS,222.197.197.40,1520.1888210773468,31
0.7475,1732851544,,False,32,d4c4b_00015,2024-11-29_11-39-04,44.89472460746765,1565.0835456848145,93734,CNWS,222.197.197.40,1565.0835456848145,32
0.7225,1732851586,,False,33,d4c4b_00015,2024-11-29_11-39-46,41.49494767189026,1606.5784933567047,93734,CNWS,222.197.197.40,1606.5784933567047,33
0.7475,1732851642,,False,34,d4c4b_00015,2024-11-29_11-40-42,56.38075041770935,1662.959243774414,93734,CNWS,222.197.197.40,1662.959243774414,34
0.7225,1732851686,,False,35,d4c4b_00015,2024-11-29_11-41-26,44.28499960899353,1707.2442433834076,93734,CNWS,222.197.197.40,1707.2442433834076,35
0.7325,1732851732,,False,36,d4c4b_00015,2024-11-29_11-42-12,45.47218465805054,1752.7164280414581,93734,CNWS,222.197.197.40,1752.7164280414581,36
0.7525,1732851794,,False,37,d4c4b_00015,2024-11-29_11-43-14,61.92281413078308,1814.6392421722412,93734,CNWS,222.197.197.40,1814.6392421722412,37
0.755,1732851842,,False,38,d4c4b_00015,2024-11-29_11-44-02,48.63610029220581,1863.275342464447,93734,CNWS,222.197.197.40,1863.275342464447,38
0.685,1732851900,,False,39,d4c4b_00015,2024-11-29_11-45-00,58.183661222457886,1921.459003686905,93734,CNWS,222.197.197.40,1921.459003686905,39
0.7175,1732851950,,False,40,d4c4b_00015,2024-11-29_11-45-50,49.697614908218384,1971.1566185951233,93734,CNWS,222.197.197.40,1971.1566185951233,40
0.7475,1732851992,,False,41,d4c4b_00015,2024-11-29_11-46-32,41.57143306732178,2012.728051662445,93734,CNWS,222.197.197.40,2012.728051662445,41
0.75,1732852034,,False,42,d4c4b_00015,2024-11-29_11-47-14,42.177818298339844,2054.905869960785,93734,CNWS,222.197.197.40,2054.905869960785,42
0.77,1732852115,,False,43,d4c4b_00015,2024-11-29_11-48-35,80.560950756073,2135.466820716858,93734,CNWS,222.197.197.40,2135.466820716858,43
0.7525,1732852204,,False,44,d4c4b_00015,2024-11-29_11-50-04,89.0235641002655,2224.4903848171234,93734,CNWS,222.197.197.40,2224.4903848171234,44
0.7575,1732852293,,False,45,d4c4b_00015,2024-11-29_11-51-33,89.21812653541565,2313.708511352539,93734,CNWS,222.197.197.40,2313.708511352539,45
0.7425,1732852351,,False,46,d4c4b_00015,2024-11-29_11-52-31,57.99322462081909,2371.701735973358,93734,CNWS,222.197.197.40,2371.701735973358,46
0.745,1732852401,,False,47,d4c4b_00015,2024-11-29_11-53-21,50.31487441062927,2422.0166103839874,93734,CNWS,222.197.197.40,2422.0166103839874,47
0.765,1732852456,,False,48,d4c4b_00015,2024-11-29_11-54-16,54.77348256111145,2476.790092945099,93734,CNWS,222.197.197.40,2476.790092945099,48
0.7325,1732852520,,False,49,d4c4b_00015,2024-11-29_11-55-20,64.44716286659241,2541.2372558116913,93734,CNWS,222.197.197.40,2541.2372558116913,49
0.76,1732852573,,False,50,d4c4b_00015,2024-11-29_11-56-13,52.93315505981445,2594.1704108715057,93734,CNWS,222.197.197.40,2594.1704108715057,50
0.7225,1732852620,,False,51,d4c4b_00015,2024-11-29_11-57-00,46.419538736343384,2640.589949607849,93734,CNWS,222.197.197.40,2640.589949607849,51
0.735,1732852662,,False,52,d4c4b_00015,2024-11-29_11-57-42,42.55139923095703,2683.141348838806,93734,CNWS,222.197.197.40,2683.141348838806,52
