acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.395,1732606182,,False,1,2aca9_00001,2024-11-26_15-29-42,14.507075309753418,14.507075309753418,241813,CNWS,222.197.197.85,14.507075309753418,1
0.49,1732606196,,False,2,2aca9_00001,2024-11-26_15-29-56,13.73949646949768,28.2465717792511,241813,CNWS,222.197.197.85,28.2465717792511,2
0.5225,1732606210,,False,3,2aca9_00001,2024-11-26_15-30-10,13.748475074768066,41.995046854019165,241813,CNWS,222.197.197.85,41.995046854019165,3
0.5525,1732606224,,False,4,2aca9_00001,2024-11-26_15-30-24,13.782488107681274,55.77753496170044,241813,CNWS,222.197.197.85,55.77753496170044,4
0.595,1732606238,,False,5,2aca9_00001,2024-11-26_15-30-38,14.389180660247803,70.16671562194824,241813,CNWS,222.197.197.85,70.16671562194824,5
0.605,1732606253,,False,6,2aca9_00001,2024-11-26_15-30-53,14.54718828201294,84.71390390396118,241813,CNWS,222.197.197.85,84.71390390396118,6
0.6025,1732606267,,False,7,2aca9_00001,2024-11-26_15-31-07,14.71596097946167,99.42986488342285,241813,CNWS,222.197.197.85,99.42986488342285,7
0.6025,1732606282,,False,8,2aca9_00001,2024-11-26_15-31-22,14.617870807647705,114.04773569107056,241813,CNWS,222.197.197.85,114.04773569107056,8
0.655,1732606296,,False,9,2aca9_00001,2024-11-26_15-31-36,13.660755157470703,127.70849084854126,241813,CNWS,222.197.197.85,127.70849084854126,9
0.635,1732606309,,False,10,2aca9_00001,2024-11-26_15-31-49,13.494980812072754,141.203471660614,241813,CNWS,222.197.197.85,141.203471660614,10
0.6225,1732606323,,False,11,2aca9_00001,2024-11-26_15-32-03,14.209019422531128,155.41249108314514,241813,CNWS,222.197.197.85,155.41249108314514,11
0.66,1732606338,,False,12,2aca9_00001,2024-11-26_15-32-18,14.21641206741333,169.62890315055847,241813,CNWS,222.197.197.85,169.62890315055847,12
0.645,1732606352,,False,13,2aca9_00001,2024-11-26_15-32-32,14.540582180023193,184.16948533058167,241813,CNWS,222.197.197.85,184.16948533058167,13
0.6925,1732606365,,False,14,2aca9_00001,2024-11-26_15-32-45,13.400940418243408,197.57042574882507,241813,CNWS,222.197.197.85,197.57042574882507,14
0.6625,1732606379,,False,15,2aca9_00001,2024-11-26_15-32-59,13.821573495864868,211.39199924468994,241813,CNWS,222.197.197.85,211.39199924468994,15
0.66,1732606393,,False,16,2aca9_00001,2024-11-26_15-33-13,13.525226593017578,224.91722583770752,241813,CNWS,222.197.197.85,224.91722583770752,16
0.67,1732606406,,False,17,2aca9_00001,2024-11-26_15-33-26,13.624228715896606,238.54145455360413,241813,CNWS,222.197.197.85,238.54145455360413,17
0.67,1732606420,,False,18,2aca9_00001,2024-11-26_15-33-40,13.761493444442749,252.30294799804688,241813,CNWS,222.197.197.85,252.30294799804688,18
0.68,1732606434,,False,19,2aca9_00001,2024-11-26_15-33-54,14.118457555770874,266.42140555381775,241813,CNWS,222.197.197.85,266.42140555381775,19
0.6725,1732606449,,False,20,2aca9_00001,2024-11-26_15-34-09,14.489864110946655,280.9112696647644,241813,CNWS,222.197.197.85,280.9112696647644,20
0.6775,1732606464,,False,21,2aca9_00001,2024-11-26_15-34-24,14.774539470672607,295.685809135437,241813,CNWS,222.197.197.85,295.685809135437,21
0.67,1732606478,,False,22,2aca9_00001,2024-11-26_15-34-38,14.64067554473877,310.3264846801758,241813,CNWS,222.197.197.85,310.3264846801758,22
0.6875,1732606492,,False,23,2aca9_00001,2024-11-26_15-34-52,13.48265027999878,323.80913496017456,241813,CNWS,222.197.197.85,323.80913496017456,23
0.69,1732606506,,False,24,2aca9_00001,2024-11-26_15-35-06,13.965458154678345,337.7745931148529,241813,CNWS,222.197.197.85,337.7745931148529,24
0.695,1732606519,,False,25,2aca9_00001,2024-11-26_15-35-19,13.731833696365356,351.50642681121826,241813,CNWS,222.197.197.85,351.50642681121826,25
0.685,1732606534,,False,26,2aca9_00001,2024-11-26_15-35-34,14.533389568328857,366.0398163795471,241813,CNWS,222.197.197.85,366.0398163795471,26
0.6875,1732606548,,False,27,2aca9_00001,2024-11-26_15-35-48,14.476789474487305,380.5166058540344,241813,CNWS,222.197.197.85,380.5166058540344,27
0.6875,1732606562,,False,28,2aca9_00001,2024-11-26_15-36-02,13.429404020309448,393.9460098743439,241813,CNWS,222.197.197.85,393.9460098743439,28
0.6825,1732606575,,False,29,2aca9_00001,2024-11-26_15-36-15,13.488358497619629,407.4343683719635,241813,CNWS,222.197.197.85,407.4343683719635,29
0.6425,1732606589,,False,30,2aca9_00001,2024-11-26_15-36-29,13.582301139831543,421.01666951179504,241813,CNWS,222.197.197.85,421.01666951179504,30
0.665,1732606602,,False,31,2aca9_00001,2024-11-26_15-36-42,13.512640476226807,434.52930998802185,241813,CNWS,222.197.197.85,434.52930998802185,31
0.6675,1732606617,,False,32,2aca9_00001,2024-11-26_15-36-57,14.212931394577026,448.7422413825989,241813,CNWS,222.197.197.85,448.7422413825989,32
0.6625,1732606631,,False,33,2aca9_00001,2024-11-26_15-37-11,14.026817083358765,462.76905846595764,241813,CNWS,222.197.197.85,462.76905846595764,33
0.6825,1732606644,,False,34,2aca9_00001,2024-11-26_15-37-24,13.385934829711914,476.15499329566956,241813,CNWS,222.197.197.85,476.15499329566956,34
0.6725,1732606658,,False,35,2aca9_00001,2024-11-26_15-37-38,13.412842512130737,489.5678358078003,241813,CNWS,222.197.197.85,489.5678358078003,35
0.69,1732606671,,False,36,2aca9_00001,2024-11-26_15-37-51,13.511442184448242,503.07927799224854,241813,CNWS,222.197.197.85,503.07927799224854,36
0.695,1732606686,,False,37,2aca9_00001,2024-11-26_15-38-06,14.524585008621216,517.6038630008698,241813,CNWS,222.197.197.85,517.6038630008698,37
0.695,1732606700,,False,38,2aca9_00001,2024-11-26_15-38-20,14.611628532409668,532.2154915332794,241813,CNWS,222.197.197.85,532.2154915332794,38
0.6525,1732606715,,False,39,2aca9_00001,2024-11-26_15-38-35,14.55574345588684,546.7712349891663,241813,CNWS,222.197.197.85,546.7712349891663,39
0.7025,1732606729,,False,40,2aca9_00001,2024-11-26_15-38-49,14.644315004348755,561.415549993515,241813,CNWS,222.197.197.85,561.415549993515,40
0.695,1732606744,,False,41,2aca9_00001,2024-11-26_15-39-04,14.580905199050903,575.9964551925659,241813,CNWS,222.197.197.85,575.9964551925659,41
0.685,1732606759,,False,42,2aca9_00001,2024-11-26_15-39-19,14.623740673065186,590.6201958656311,241813,CNWS,222.197.197.85,590.6201958656311,42
