acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.51,1732610372,,False,1,d93cb_00010,2024-11-26_16-39-32,44.65501070022583,44.65501070022583,248910,CNWS,222.197.197.85,44.65501070022583,1
0.5375,1732610410,,False,2,d93cb_00010,2024-11-26_16-40-10,38.43107771873474,83.08608841896057,248910,CNWS,222.197.197.85,83.08608841896057,2
0.56,1732610447,,False,3,d93cb_00010,2024-11-26_16-40-47,37.10071516036987,120.18680357933044,248910,CNWS,222.197.197.85,120.18680357933044,3
0.53,1732610483,,False,4,d93cb_00010,2024-11-26_16-41-23,35.54905867576599,155.73586225509644,248910,CNWS,222.197.197.85,155.73586225509644,4
0.595,1732610518,,False,5,d93cb_00010,2024-11-26_16-41-58,35.10575556755066,190.8416178226471,248910,CNWS,222.197.197.85,190.8416178226471,5
0.6,1732610552,,False,6,d93cb_00010,2024-11-26_16-42-32,34.1524977684021,224.9941155910492,248910,CNWS,222.197.197.85,224.9941155910492,6
0.58,1732610587,,False,7,d93cb_00010,2024-11-26_16-43-07,35.33202385902405,260.32613945007324,248910,CNWS,222.197.197.85,260.32613945007324,7
0.6025,1732610625,,False,8,d93cb_00010,2024-11-26_16-43-45,37.214242935180664,297.5403823852539,248910,CNWS,222.197.197.85,297.5403823852539,8
0.6,1732610661,,False,9,d93cb_00010,2024-11-26_16-44-21,36.58174753189087,334.1221299171448,248910,CNWS,222.197.197.85,334.1221299171448,9
0.6325,1732610693,,False,10,d93cb_00010,2024-11-26_16-44-53,31.770859479904175,365.89298939704895,248910,CNWS,222.197.197.85,365.89298939704895,10
0.6475,1732610729,,False,11,d93cb_00010,2024-11-26_16-45-29,36.26633810997009,402.15932750701904,248910,CNWS,222.197.197.85,402.15932750701904,11
0.6875,1732610773,,False,12,d93cb_00010,2024-11-26_16-46-13,43.98982620239258,446.1491537094116,248910,CNWS,222.197.197.85,446.1491537094116,12
0.6725,1732610814,,False,13,d93cb_00010,2024-11-26_16-46-54,40.36317276954651,486.51232647895813,248910,CNWS,222.197.197.85,486.51232647895813,13
0.6925,1732610853,,False,14,d93cb_00010,2024-11-26_16-47-33,39.18669939041138,525.6990258693695,248910,CNWS,222.197.197.85,525.6990258693695,14
0.675,1732610892,,False,15,d93cb_00010,2024-11-26_16-48-12,39.21064352989197,564.9096693992615,248910,CNWS,222.197.197.85,564.9096693992615,15
0.6925,1732610926,,False,16,d93cb_00010,2024-11-26_16-48-46,34.05542492866516,598.9650943279266,248910,CNWS,222.197.197.85,598.9650943279266,16
0.6775,1732610967,,False,17,d93cb_00010,2024-11-26_16-49-27,41.060484409332275,640.0255787372589,248910,CNWS,222.197.197.85,640.0255787372589,17
0.6775,1732611006,,False,18,d93cb_00010,2024-11-26_16-50-06,38.7754020690918,678.8009808063507,248910,CNWS,222.197.197.85,678.8009808063507,18
0.6825,1732611042,,False,19,d93cb_00010,2024-11-26_16-50-42,36.56842517852783,715.3694059848785,248910,CNWS,222.197.197.85,715.3694059848785,19
0.65,1732611081,,False,20,d93cb_00010,2024-11-26_16-51-21,38.568485736846924,753.9378917217255,248910,CNWS,222.197.197.85,753.9378917217255,20
0.6825,1732611117,,False,21,d93cb_00010,2024-11-26_16-51-57,36.06480956077576,790.0027012825012,248910,CNWS,222.197.197.85,790.0027012825012,21
0.685,1732611159,,False,22,d93cb_00010,2024-11-26_16-52-39,41.772855043411255,831.7755563259125,248910,CNWS,222.197.197.85,831.7755563259125,22
0.6775,1732611200,,False,23,d93cb_00010,2024-11-26_16-53-20,40.936274766922,872.7118310928345,248910,CNWS,222.197.197.85,872.7118310928345,23
0.7025,1732611234,,False,24,d93cb_00010,2024-11-26_16-53-54,34.336530685424805,907.0483617782593,248910,CNWS,222.197.197.85,907.0483617782593,24
0.6625,1732611273,,False,25,d93cb_00010,2024-11-26_16-54-33,39.14980959892273,946.198171377182,248910,CNWS,222.197.197.85,946.198171377182,25
0.665,1732611315,,False,26,d93cb_00010,2024-11-26_16-55-15,41.96914720535278,988.1673185825348,248910,CNWS,222.197.197.85,988.1673185825348,26
0.69,1732611355,,False,27,d93cb_00010,2024-11-26_16-55-55,39.2847580909729,1027.4520766735077,248910,CNWS,222.197.197.85,1027.4520766735077,27
0.695,1732611398,,False,28,d93cb_00010,2024-11-26_16-56-38,43.29651713371277,1070.7485938072205,248910,CNWS,222.197.197.85,1070.7485938072205,28
0.685,1732611440,,False,29,d93cb_00010,2024-11-26_16-57-20,42.59534573554993,1113.3439395427704,248910,CNWS,222.197.197.85,1113.3439395427704,29
0.68,1732611476,,False,30,d93cb_00010,2024-11-26_16-57-56,36.05206322669983,1149.3960027694702,248910,CNWS,222.197.197.85,1149.3960027694702,30
0.6725,1732611518,,False,31,d93cb_00010,2024-11-26_16-58-38,41.4039204120636,1190.7999231815338,248910,CNWS,222.197.197.85,1190.7999231815338,31
0.7,1732611562,,False,32,d93cb_00010,2024-11-26_16-59-22,44.11132526397705,1234.9112484455109,248910,CNWS,222.197.197.85,1234.9112484455109,32
0.7,1732611597,,False,33,d93cb_00010,2024-11-26_16-59-57,35.17876672744751,1270.0900151729584,248910,CNWS,222.197.197.85,1270.0900151729584,33
0.7075,1732611633,,False,34,d93cb_00010,2024-11-26_17-00-33,35.60311722755432,1305.6931324005127,248910,CNWS,222.197.197.85,1305.6931324005127,34
0.6875,1732611672,,False,35,d93cb_00010,2024-11-26_17-01-12,39.055724143981934,1344.7488565444946,248910,CNWS,222.197.197.85,1344.7488565444946,35
0.6725,1732611709,,False,36,d93cb_00010,2024-11-26_17-01-49,37.63339829444885,1382.3822548389435,248910,CNWS,222.197.197.85,1382.3822548389435,36
