acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4775,1732608752,,False,1,21b15_00004,2024-11-26_16-12-32,22.596319437026978,22.596319437026978,245612,CNWS,222.197.197.85,22.596319437026978,1
0.52,1732608768,,False,2,21b15_00004,2024-11-26_16-12-48,15.68478536605835,38.28110480308533,245612,CNWS,222.197.197.85,38.28110480308533,2
0.64,1732608783,,False,3,21b15_00004,2024-11-26_16-13-03,14.880376815795898,53.161481618881226,245612,CNWS,222.197.197.85,53.161481618881226,3
0.6675,1732608803,,False,4,21b15_00004,2024-11-26_16-13-23,19.959845066070557,73.12132668495178,245612,CNWS,222.197.197.85,73.12132668495178,4
0.665,1732608820,,False,5,21b15_00004,2024-11-26_16-13-40,16.68131399154663,89.80264067649841,245612,CNWS,222.197.197.85,89.80264067649841,5
0.635,1732608840,,False,6,21b15_00004,2024-11-26_16-14-00,19.987284421920776,109.78992509841919,245612,CNWS,222.197.197.85,109.78992509841919,6
0.6325,1732608856,,False,7,21b15_00004,2024-11-26_16-14-16,16.427334785461426,126.21725988388062,245612,CNWS,222.197.197.85,126.21725988388062,7
0.66,1732608872,,False,8,21b15_00004,2024-11-26_16-14-32,16.14069676399231,142.35795664787292,245612,CNWS,222.197.197.85,142.35795664787292,8
0.66,1732608890,,False,9,21b15_00004,2024-11-26_16-14-50,17.957534313201904,160.31549096107483,245612,CNWS,222.197.197.85,160.31549096107483,9
0.66,1732608917,,False,10,21b15_00004,2024-11-26_16-15-17,26.685375928878784,187.0008668899536,245612,CNWS,222.197.197.85,187.0008668899536,10
0.67,1732608932,,False,11,21b15_00004,2024-11-26_16-15-32,15.14523696899414,202.14610385894775,245612,CNWS,222.197.197.85,202.14610385894775,11
0.645,1732608949,,False,12,21b15_00004,2024-11-26_16-15-49,16.787853956222534,218.9339578151703,245612,CNWS,222.197.197.85,218.9339578151703,12
0.64,1732608974,,False,13,21b15_00004,2024-11-26_16-16-14,24.868041515350342,243.80199933052063,245612,CNWS,222.197.197.85,243.80199933052063,13
0.64,1732608992,,False,14,21b15_00004,2024-11-26_16-16-32,18.150463819503784,261.9524631500244,245612,CNWS,222.197.197.85,261.9524631500244,14
0.6275,1732609008,,False,15,21b15_00004,2024-11-26_16-16-48,15.802435159683228,277.75489830970764,245612,CNWS,222.197.197.85,277.75489830970764,15
