acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.5075,1732619005,,False,1,f1938_00002,2024-11-26_19-03-25,47.457159757614136,47.457159757614136,263107,CNWS,222.197.197.85,47.457159757614136,1
0.5575,1732619026,,False,2,f1938_00002,2024-11-26_19-03-46,21.638393878936768,69.0955536365509,263107,CNWS,222.197.197.85,69.0955536365509,2
0.6075,1732619052,,False,3,f1938_00002,2024-11-26_19-04-12,25.988155126571655,95.08370876312256,263107,CNWS,222.197.197.85,95.08370876312256,3
0.62,1732619095,,False,4,f1938_00002,2024-11-26_19-04-55,42.860954999923706,137.94466376304626,263107,CNWS,222.197.197.85,137.94466376304626,4
0.63,1732619128,,False,5,f1938_00002,2024-11-26_19-05-28,33.307252407073975,171.25191617012024,263107,CNWS,222.197.197.85,171.25191617012024,5
0.655,1732619163,,False,6,f1938_00002,2024-11-26_19-06-03,34.49495720863342,205.74687337875366,263107,CNWS,222.197.197.85,205.74687337875366,6
0.6625,1732619196,,False,7,f1938_00002,2024-11-26_19-06-36,32.82691168785095,238.57378506660461,263107,CNWS,222.197.197.85,238.57378506660461,7
0.69,1732619222,,False,8,f1938_00002,2024-11-26_19-07-02,26.64582371711731,265.2196087837219,263107,CNWS,222.197.197.85,265.2196087837219,8
0.665,1732619291,,False,9,f1938_00002,2024-11-26_19-08-11,69.01360392570496,334.2332127094269,263107,CNWS,222.197.197.85,334.2332127094269,9
0.7025,1732619325,,False,10,f1938_00002,2024-11-26_19-08-45,33.401041746139526,367.6342544555664,263107,CNWS,222.197.197.85,367.6342544555664,10
0.73,1732619358,,False,11,f1938_00002,2024-11-26_19-09-18,32.80026054382324,400.43451499938965,263107,CNWS,222.197.197.85,400.43451499938965,11
0.71,1732619393,,False,12,f1938_00002,2024-11-26_19-09-53,34.92853903770447,435.3630540370941,263107,CNWS,222.197.197.85,435.3630540370941,12
0.71,1732619454,,False,13,f1938_00002,2024-11-26_19-10-54,61.447407722473145,496.81046175956726,263107,CNWS,222.197.197.85,496.81046175956726,13
0.7025,1732619506,,False,14,f1938_00002,2024-11-26_19-11-46,52.15091514587402,548.9613769054413,263107,CNWS,222.197.197.85,548.9613769054413,14
0.7275,1732619541,,False,15,f1938_00002,2024-11-26_19-12-21,34.45585513114929,583.4172320365906,263107,CNWS,222.197.197.85,583.4172320365906,15
0.695,1732619574,,False,16,f1938_00002,2024-11-26_19-12-54,33.10395312309265,616.5211851596832,263107,CNWS,222.197.197.85,616.5211851596832,16
0.645,1732619625,,False,17,f1938_00002,2024-11-26_19-13-45,51.7369921207428,668.258177280426,263107,CNWS,222.197.197.85,668.258177280426,17
0.73,1732619697,,False,18,f1938_00002,2024-11-26_19-14-57,71.12856841087341,739.3867456912994,263107,CNWS,222.197.197.85,739.3867456912994,18
0.6575,1732619751,,False,19,f1938_00002,2024-11-26_19-15-51,54.307639360427856,793.6943850517273,263107,CNWS,222.197.197.85,793.6943850517273,19
0.6575,1732619818,,False,20,f1938_00002,2024-11-26_19-16-58,67.3395516872406,861.0339367389679,263107,CNWS,222.197.197.85,861.0339367389679,20
0.7075,1732619847,,False,21,f1938_00002,2024-11-26_19-17-27,29.051292657852173,890.0852293968201,263107,CNWS,222.197.197.85,890.0852293968201,21
0.71,1732619894,,False,22,f1938_00002,2024-11-26_19-18-14,47.07462763786316,937.1598570346832,263107,CNWS,222.197.197.85,937.1598570346832,22
0.72,1732619927,,False,23,f1938_00002,2024-11-26_19-18-47,32.9749014377594,970.1347584724426,263107,CNWS,222.197.197.85,970.1347584724426,23
0.69,1732619962,,False,24,f1938_00002,2024-11-26_19-19-22,34.23240375518799,1004.3671622276306,263107,CNWS,222.197.197.85,1004.3671622276306,24
0.67,1732619998,,False,25,f1938_00002,2024-11-26_19-19-58,36.145036697387695,1040.5121989250183,263107,CNWS,222.197.197.85,1040.5121989250183,25
0.685,1732620039,,False,26,f1938_00002,2024-11-26_19-20-39,40.84020185470581,1081.3524007797241,263107,CNWS,222.197.197.85,1081.3524007797241,26
0.655,1732620071,,False,27,f1938_00002,2024-11-26_19-21-11,32.57157111167908,1113.9239718914032,263107,CNWS,222.197.197.85,1113.9239718914032,27
0.7325,1732620106,,False,28,f1938_00002,2024-11-26_19-21-46,35.06364560127258,1148.9876174926758,263107,CNWS,222.197.197.85,1148.9876174926758,28
0.6975,1732620136,,False,29,f1938_00002,2024-11-26_19-22-16,29.34658718109131,1178.334204673767,263107,CNWS,222.197.197.85,1178.334204673767,29
0.7225,1732620160,,False,30,f1938_00002,2024-11-26_19-22-40,24.12356400489807,1202.4577686786652,263107,CNWS,222.197.197.85,1202.4577686786652,30
0.73,1732620194,,False,31,f1938_00002,2024-11-26_19-23-14,34.56789016723633,1237.0256588459015,263107,CNWS,222.197.197.85,1237.0256588459015,31
0.6925,1732620244,,False,32,f1938_00002,2024-11-26_19-24-04,49.891398191452026,1286.9170570373535,263107,CNWS,222.197.197.85,1286.9170570373535,32
0.69,1732620290,,False,33,f1938_00002,2024-11-26_19-24-50,46.11123490333557,1333.028291940689,263107,CNWS,222.197.197.85,1333.028291940689,33
0.695,1732620324,,False,34,f1938_00002,2024-11-26_19-25-24,33.377009868621826,1366.405301809311,263107,CNWS,222.197.197.85,1366.405301809311,34
0.705,1732620360,,False,35,f1938_00002,2024-11-26_19-26-00,36.22372341156006,1402.629025220871,263107,CNWS,222.197.197.85,1402.629025220871,35
0.74,1732620404,,False,36,f1938_00002,2024-11-26_19-26-44,44.5410373210907,1447.1700625419617,263107,CNWS,222.197.197.85,1447.1700625419617,36
0.7025,1732620459,,False,37,f1938_00002,2024-11-26_19-27-39,54.621880292892456,1501.7919428348541,263107,CNWS,222.197.197.85,1501.7919428348541,37
0.695,1732620509,,False,38,f1938_00002,2024-11-26_19-28-29,50.43594026565552,1552.2278831005096,263107,CNWS,222.197.197.85,1552.2278831005096,38
0.7075,1732620554,,False,39,f1938_00002,2024-11-26_19-29-14,44.71333074569702,1596.9412138462067,263107,CNWS,222.197.197.85,1596.9412138462067,39
0.715,1732620601,,False,40,f1938_00002,2024-11-26_19-30-01,46.31354904174805,1643.2547628879547,263107,CNWS,222.197.197.85,1643.2547628879547,40
