acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.57,1732622153,,False,1,51d77_00008,2024-11-26_19-55-53,27.55809235572815,27.55809235572815,270350,CNWS,222.197.197.85,27.55809235572815,1
0.575,1732622178,,False,2,51d77_00008,2024-11-26_19-56-18,25.237295150756836,52.795387506484985,270350,CNWS,222.197.197.85,52.795387506484985,2
0.59,1732622207,,False,3,51d77_00008,2024-11-26_19-56-47,29.12704825401306,81.92243576049805,270350,CNWS,222.197.197.85,81.92243576049805,3
0.615,1732622235,,False,4,51d77_00008,2024-11-26_19-57-15,27.482342958450317,109.40477871894836,270350,CNWS,222.197.197.85,109.40477871894836,4
0.57,1732622270,,False,5,51d77_00008,2024-11-26_19-57-50,35.21947622299194,144.6242549419403,270350,CNWS,222.197.197.85,144.6242549419403,5
0.625,1732622310,,False,6,51d77_00008,2024-11-26_19-58-30,39.99608325958252,184.62033820152283,270350,CNWS,222.197.197.85,184.62033820152283,6
0.66,1732622342,,False,7,51d77_00008,2024-11-26_19-59-02,32.61039996147156,217.23073816299438,270350,CNWS,222.197.197.85,217.23073816299438,7
0.67,1732622368,,False,8,51d77_00008,2024-11-26_19-59-28,25.048433542251587,242.27917170524597,270350,CNWS,222.197.197.85,242.27917170524597,8
0.685,1732622411,,False,9,51d77_00008,2024-11-26_20-00-11,43.90395641326904,286.183128118515,270350,CNWS,222.197.197.85,286.183128118515,9
0.6975,1732622453,,False,10,51d77_00008,2024-11-26_20-00-53,41.2516975402832,327.4348256587982,270350,CNWS,222.197.197.85,327.4348256587982,10
0.6725,1732622495,,False,11,51d77_00008,2024-11-26_20-01-35,42.35472273826599,369.7895483970642,270350,CNWS,222.197.197.85,369.7895483970642,11
0.72,1732622534,,False,12,51d77_00008,2024-11-26_20-02-14,39.148640155792236,408.93818855285645,270350,CNWS,222.197.197.85,408.93818855285645,12
0.635,1732622573,,False,13,51d77_00008,2024-11-26_20-02-53,38.642919301986694,447.58110785484314,270350,CNWS,222.197.197.85,447.58110785484314,13
0.7225,1732622603,,False,14,51d77_00008,2024-11-26_20-03-23,30.439475059509277,478.0205829143524,270350,CNWS,222.197.197.85,478.0205829143524,14
0.7325,1732622645,,False,15,51d77_00008,2024-11-26_20-04-05,41.752172231674194,519.7727551460266,270350,CNWS,222.197.197.85,519.7727551460266,15
0.675,1732622671,,False,16,51d77_00008,2024-11-26_20-04-31,25.93625259399414,545.7090077400208,270350,CNWS,222.197.197.85,545.7090077400208,16
0.7225,1732622699,,False,17,51d77_00008,2024-11-26_20-04-59,27.735204935073853,573.4442126750946,270350,CNWS,222.197.197.85,573.4442126750946,17
0.71,1732622733,,False,18,51d77_00008,2024-11-26_20-05-33,34.059826135635376,607.50403881073,270350,CNWS,222.197.197.85,607.50403881073,18
0.715,1732622766,,False,19,51d77_00008,2024-11-26_20-06-06,33.28276872634888,640.7868075370789,270350,CNWS,222.197.197.85,640.7868075370789,19
0.73,1732622799,,False,20,51d77_00008,2024-11-26_20-06-39,32.89053726196289,673.6773447990417,270350,CNWS,222.197.197.85,673.6773447990417,20
0.7025,1732622826,,False,21,51d77_00008,2024-11-26_20-07-06,27.26243782043457,700.9397826194763,270350,CNWS,222.197.197.85,700.9397826194763,21
0.7125,1732622858,,False,22,51d77_00008,2024-11-26_20-07-38,32.079627990722656,733.019410610199,270350,CNWS,222.197.197.85,733.019410610199,22
0.72,1732622885,,False,23,51d77_00008,2024-11-26_20-08-05,26.805452346801758,759.8248629570007,270350,CNWS,222.197.197.85,759.8248629570007,23
0.705,1732622909,,False,24,51d77_00008,2024-11-26_20-08-29,23.578117609024048,783.4029805660248,270350,CNWS,222.197.197.85,783.4029805660248,24
0.73,1732622951,,False,25,51d77_00008,2024-11-26_20-09-11,42.28635931015015,825.6893398761749,270350,CNWS,222.197.197.85,825.6893398761749,25
0.7375,1732622993,,False,26,51d77_00008,2024-11-26_20-09-53,41.57406234741211,867.263402223587,270350,CNWS,222.197.197.85,867.263402223587,26
0.71,1732623030,,False,27,51d77_00008,2024-11-26_20-10-30,37.492271900177,904.755674123764,270350,CNWS,222.197.197.85,904.755674123764,27
0.72,1732623060,,False,28,51d77_00008,2024-11-26_20-11-00,29.74654269218445,934.5022168159485,270350,CNWS,222.197.197.85,934.5022168159485,28
0.7325,1732623100,,False,29,51d77_00008,2024-11-26_20-11-40,40.06496787071228,974.5671846866608,270350,CNWS,222.197.197.85,974.5671846866608,29
0.69,1732623124,,False,30,51d77_00008,2024-11-26_20-12-04,24.430766344070435,998.9979510307312,270350,CNWS,222.197.197.85,998.9979510307312,30
0.7275,1732623167,,False,31,51d77_00008,2024-11-26_20-12-47,43.073261737823486,1042.0712127685547,270350,CNWS,222.197.197.85,1042.0712127685547,31
0.7175,1732623216,,False,32,51d77_00008,2024-11-26_20-13-36,48.75916147232056,1090.8303742408752,270350,CNWS,222.197.197.85,1090.8303742408752,32
